,ulasan,label,ulasan_token
0,semenjak aplikasinya update lemot,Negatif,"['semenjak', 'aplikasinya', 'update', 'lemot']"
1,dipakai,Netral,['dipakai']
2,aplikasinya mudah bagus lemot,Positif,"['aplikasinya', 'mudah', 'bagus', 'lemot']"
3,pake pesan gagal diaplikasi berhasil dna cepet lemot,Positif,"['pake', 'pesan', 'gagal', 'diaplikasi', 'berhasil', 'dna', 'cepet', 'lemot']"
4,update lemot susah tolong diperbaiki,Negatif,"['update', 'lemot', 'susah', 'tolong', 'diperbaiki']"
5,ko update kaget ama logo barunya lancar,Positif,"['ko', 'update', 'kaget', 'ama', 'logo', 'barunya', 'lancar']"
6,bagus versi mudah lengkap tingkatkan efisiensi bug,Konflik,"['bagus', 'versi', 'mudah', 'lengkap', 'tingkatkan', 'efisiensi', 'bug']"
7,lag banget internet bagus apk susah masuk semenjak update,Konflik,"['lag', 'banget', 'internet', 'bagus', 'apk', 'susah', 'masuk', 'semenjak', 'update']"
8,bagus enak diliat gua lemot tampilannya enteng apk berat,Positif,"['bagus', 'enak', 'diliat', 'gua', 'lemot', 'tampilannya', 'enteng', 'apk', 'berat']"
9,udah bisapake qris kai access aya suka qris simpel ditambah uga aplikasinya satset,Positif,"['udah', 'bisapake', 'qris', 'kai', 'access', 'aya', 'suka', 'qris', 'simpel', 'ditambah', 'uga', 'aplikasinya', 'satset']"
10,lemooooooooooooottttttt bangettttttttt buka loadingnya jaringan bangus aplikasinya upgrade buka masukin otp email sms kasih otp,Negatif,"['lemooooooooooooottttttt', 'bangettttttttt', 'buka', 'loadingnya', 'jaringan', 'bangus', 'aplikasinya', 'upgrade', 'buka', 'masukin', 'otp', 'email', 'sms', 'kasih', 'otp']"
11,mudah gag ribet gag antri nunggu loket bukak sayang gag kursi,Konflik,"['mudah', 'gag', 'ribet', 'gag', 'antri', 'nunggu', 'loket', 'bukak', 'sayang', 'gag', 'kursi']"
12,alamdulillah update akses lancar lemot memilih kursi timeout nunggu membuang,Positif,"['alamdulillah', 'update', 'akses', 'lancar', 'lemot', 'memilih', 'kursi', 'timeout', 'nunggu', 'membuang']"
13,diupdate beli mudah lancar ui diperbaiki jg keren versi versi bagus banget performanya,Positif,"['diupdate', 'beli', 'mudah', 'lancar', 'ui', 'diperbaiki', 'jg', 'keren', 'versi', 'versi', 'bagus', 'banget', 'performanya']"
14,update lemot log out susah membeli menyulitkan boarding,Negatif,"['update', 'lemot', 'log', 'out', 'susah', 'membeli', 'menyulitkan', 'boarding']"
15,update lemot susah tolong diperbaiki,Negatif,"['update', 'lemot', 'susah', 'tolong', 'diperbaiki']"
16,update lancar antarmukanya bagusan,Positif,"['update', 'lancar', 'antarmukanya', 'bagusan']"
17,admin balikin lemot banget update update user friendly filter pilihan by harga kelas pilih kursi hrs scroll layar hadeuh maju,Negatif,"['admin', 'balikin', 'lemot', 'banget', 'update', 'update', 'user', 'friendly', 'filter', 'pilihan', 'by', 'harga', 'kelas', 'pilih', 'kursi', 'hrs', 'scroll', 'layar', 'hadeuh', 'maju']"
18,lengkap operasikan lemoot pembelian kereta pengecekan kereta bagusan update,Konflik,"['lengkap', 'operasikan', 'lemoot', 'pembelian', 'kereta', 'pengecekan', 'kereta', 'bagusan', 'update']"
19,enak versi,Konflik,"['enak', 'versi']"
20,versi terbaru buruk login via email no hp muter sampe berkecambah,Negatif,"['versi', 'terbaru', 'buruk', 'login', 'via', 'email', 'no', 'hp', 'muter', 'sampe', 'berkecambah']"
21,diupgrade lancar proses login sampe pambayran,Positif,"['diupgrade', 'lancar', 'proses', 'login', 'sampe', 'pambayran']"
22,diperbarui garibet pesen lemot lbih mudah beli skrng hhh seblumnya thx,Positif,"['diperbarui', 'garibet', 'pesen', 'lemot', 'lbih', 'mudah', 'beli', 'skrng', 'hhh', 'seblumnya', 'thx']"
23,diperbarui bagus lancar trus fiturnya lengkap pesen kereta seklain pesen hotel beli kuota internet,Positif,"['diperbarui', 'bagus', 'lancar', 'trus', 'fiturnya', 'lengkap', 'pesen', 'kereta', 'seklain', 'pesen', 'hotel', 'beli', 'kuota', 'internet']"
24,saran pengurus kai zaman modern digital serba cepat batal pengembalian dana nunggu setahun tf dana,Negatif,"['saran', 'pengurus', 'kai', 'zaman', 'modern', 'digital', 'serba', 'cepat', 'batal', 'pengembalian', 'dana', 'nunggu', 'setahun', 'tf', 'dana']"
25,butuh ma akses kereta males bgt make app minggu loading trs eror trs org buru bner bkin emosi pas nyampe stasiun disuruh loket loket disuruh petugas dpn bner nyebelin bgt sampe ketinggalan jadwal kereta lg buru org gbs beli diloket benerin app ngerugiin orang,Negatif,"['butuh', 'ma', 'akses', 'kereta', 'males', 'bgt', 'make', 'app', 'minggu', 'loading', 'trs', 'eror', 'trs', 'org', 'buru', 'bner', 'bkin', 'emosi', 'pas', 'nyampe', 'stasiun', 'disuruh', 'loket', 'loket', 'disuruh', 'petugas', 'dpn', 'bner', 'nyebelin', 'bgt', 'sampe', 'ketinggalan', 'jadwal', 'kereta', 'lg', 'buru', 'org', 'gbs', 'beli', 'diloket', 'benerin', 'app', 'ngerugiin', 'orang']"
26,hah gabisa dibuka samsek daritadi buka muncul logone tok berfungsi samsek,Negatif,"['hah', 'gabisa', 'dibuka', 'samsek', 'daritadi', 'buka', 'muncul', 'logone', 'tok', 'berfungsi', 'samsek']"
27,lambat banget proses cek tiketnya makan sampe menit cuman beli menit cmn buka untung kejar keretanya,Negatif,"['lambat', 'banget', 'proses', 'cek', 'tiketnya', 'makan', 'sampe', 'menit', 'cuman', 'beli', 'menit', 'cmn', 'buka', 'untung', 'kejar', 'keretanya']"
28,update lancar buka aplikasinya langsung satset tpi antarmukanya bagusan,Positif,"['update', 'lancar', 'buka', 'aplikasinya', 'langsung', 'satset', 'tpi', 'antarmukanya', 'bagusan']"
29,diupdate mudah aplikasinya lemot mudah cek menyelesaikan step by step isi data penumpang update terbaru membantu puas,Positif,"['diupdate', 'mudah', 'aplikasinya', 'lemot', 'mudah', 'cek', 'menyelesaikan', 'step', 'by', 'step', 'isi', 'data', 'penumpang', 'update', 'terbaru', 'membantu', 'puas']"
30,iya lancar efektif pemilihan kursi kursi mending efektif efisien,Positif,"['iya', 'lancar', 'efektif', 'pemilihan', 'kursi', 'kursi', 'mending', 'efektif', 'efisien']"
31,ribet pake kaipay mempermudah user kai pesen tikt fiturbarunya satset parah,Positif,"['ribet', 'pake', 'kaipay', 'mempermudah', 'user', 'kai', 'pesen', 'tikt', 'fiturbarunya', 'satset', 'parah']"
32,emang have fun and youth fasilitas berfungsi namanya spesial orang mudah mencari kai access nama kai access keren spesial identitas pesan kereta api access maknanya revamp revamp aneh gitu inget stasiun lupa jalan akses aneh mmm kayak livin by mandiri,Negatif,"['emang', 'have', 'fun', 'and', 'youth', 'fasilitas', 'berfungsi', 'namanya', 'spesial', 'orang', 'mudah', 'mencari', 'kai', 'access', 'nama', 'kai', 'access', 'keren', 'spesial', 'identitas', 'pesan', 'kereta', 'api', 'access', 'maknanya', 'revamp', 'revamp', 'aneh', 'gitu', 'inget', 'stasiun', 'lupa', 'jalan', 'akses', 'aneh', 'mmm', 'kayak', 'livin', 'by', 'mandiri']"
33,lancarr hp ku spek lumayan lo gatau orang orang bilanylemot banget lancar promo hotel jug,Positif,"['lancarr', 'hp', 'ku', 'spek', 'lumayan', 'lo', 'gatau', 'orang', 'orang', 'bilanylemot', 'banget', 'lancar', 'promo', 'hotel', 'jug']"
34,apk membantu detail kendala loadingnya cek jadwal commuter line susah mencari nama stasiun memakan loading hasil pencarian,Negatif,"['apk', 'membantu', 'detail', 'kendala', 'loadingnya', 'cek', 'jadwal', 'commuter', 'line', 'susah', 'mencari', 'nama', 'stasiun', 'memakan', 'loading', 'hasil', 'pencarian']"
35,lemot suka apk,Konflik,"['lemot', 'suka', 'apk']"
36,melatarbelakangi pergantian kai access access by kai sumpah kecewa banget kualitas upgrade downgrade pesen lelet menambah daftar penumpang loading banget tolong tampilannya ubah access kemudahannya ditingkatkan secepatnya diperbaiki maaf,Konflik,"['melatarbelakangi', 'pergantian', 'kai', 'access', 'access', 'by', 'kai', 'sumpah', 'kecewa', 'banget', 'kualitas', 'upgrade', 'downgrade', 'pesen', 'lelet', 'menambah', 'daftar', 'penumpang', 'loading', 'banget', 'tolong', 'tampilannya', 'ubah', 'access', 'kemudahannya', 'ditingkatkan', 'secepatnya', 'diperbaiki', 'maaf']"
37,update lancar bangettt rada lemot pesen bayrnya lbh mudah skrang,Positif,"['update', 'lancar', 'bangettt', 'rada', 'lemot', 'pesen', 'bayrnya', 'lbh', 'mudah', 'skrang']"
38,update apknya lancar nggu,Positif,"['update', 'apknya', 'lancar', 'nggu']"
39,proses lokal cepat banget ovo mudah,Positif,"['proses', 'lokal', 'cepat', 'banget', 'ovo', 'mudah']"
40,diupdate jdi lancar kasih bintang deh,Positif,"['diupdate', 'jdi', 'lancar', 'kasih', 'bintang', 'deh']"
41,bagus lancar banget versi terbaru,Positif,"['bagus', 'lancar', 'banget', 'versi', 'terbaru']"
42,kemudahan customer update an bintang update an terbarunya kai udah lemot jos mantp is best lancar jaya suka terbaru mudah dimengerti customer pengguna,Positif,"['kemudahan', 'customer', 'update', 'an', 'bintang', 'update', 'an', 'terbarunya', 'kai', 'udah', 'lemot', 'jos', 'mantp', 'is', 'best', 'lancar', 'jaya', 'suka', 'terbaru', 'mudah', 'dimengerti', 'customer', 'pengguna']"
43,enakan aplikasinya lancar emot seger ngebosenin,Positif,"['enakan', 'aplikasinya', 'lancar', 'emot', 'seger', 'ngebosenin']"
44,lemot bgtttt abis upgrade tp kualitas downgrade bolak tinggal bayar lemotnya maasyaaallah apasi,Negatif,"['lemot', 'bgtttt', 'abis', 'upgrade', 'tp', 'kualitas', 'downgrade', 'bolak', 'tinggal', 'bayar', 'lemotnya', 'maasyaaallah', 'apasi']"
45,diperbarui bagus lancar trus fiturnya lengkap pesen kereta seklain pesen hotel beli kuota internet,Positif,"['diperbarui', 'bagus', 'lancar', 'trus', 'fiturnya', 'lengkap', 'pesen', 'kereta', 'seklain', 'pesen', 'hotel', 'beli', 'kuota', 'internet']"
46,senang pembaruan kai accesa update no hp gagal terbaru membantu pengguna performanya canggih cepet,Positif,"['senang', 'pembaruan', 'kai', 'accesa', 'update', 'no', 'hp', 'gagal', 'terbaru', 'membantu', 'pengguna', 'performanya', 'canggih', 'cepet']"
47,ok cepat lgsung,Positif,"['ok', 'cepat', 'lgsung']"
48,admin balikin lemot banget update update user friendly filter pilihan by harga kelas pilih kursi hrs scroll layar hadeuh maju,Negatif,"['admin', 'balikin', 'lemot', 'banget', 'update', 'update', 'user', 'friendly', 'filter', 'pilihan', 'by', 'harga', 'kelas', 'pilih', 'kursi', 'hrs', 'scroll', 'layar', 'hadeuh', 'maju']"
49,gimana temen gnti jadwal kereta tnpa stasiun gnti,Konflik,"['gimana', 'temen', 'gnti', 'jadwal', 'kereta', 'tnpa', 'stasiun', 'gnti']"
50,update lemot banget logout pas masuk jdi gk masuk keterangan failed request udah pake kai acces tolong donk pake aplikasinya simpel mudah akses susah gini,Negatif,"['update', 'lemot', 'banget', 'logout', 'pas', 'masuk', 'jdi', 'gk', 'masuk', 'keterangan', 'failed', 'request', 'udah', 'pake', 'kai', 'acces', 'tolong', 'donk', 'pake', 'aplikasinya', 'simpel', 'mudah', 'akses', 'susah', 'gini']"
51,dikomentar bilagn lemot akun lancar lemot samsek,Konflik,"['dikomentar', 'bilagn', 'lemot', 'akun', 'lancar', 'lemot', 'samsek']"
52,masuk lancar bgt proses lancar butuh cepet super lancar,Positif,"['masuk', 'lancar', 'bgt', 'proses', 'lancar', 'butuh', 'cepet', 'super', 'lancar']"
53,update bermasalah login pengisian kode otp loading menunggu block jam masukkan kode otp qris kode qris kunjung muncul bayar jenis kelamin diubah direfresh jenis kelamin salah tertukar laki perempuan penumpang,Negatif,"['update', 'bermasalah', 'login', 'pengisian', 'kode', 'otp', 'loading', 'menunggu', 'block', 'jam', 'masukkan', 'kode', 'otp', 'qris', 'kode', 'qris', 'kunjung', 'muncul', 'bayar', 'jenis', 'kelamin', 'diubah', 'direfresh', 'jenis', 'kelamin', 'salah', 'tertukar', 'laki', 'perempuan', 'penumpang']"
54,lemot masuk menu lemot kadang akun log out masuk log in,Negatif,"['lemot', 'masuk', 'menu', 'lemot', 'kadang', 'akun', 'log', 'out', 'masuk', 'log', 'in']"
55,abis update tampikan bagus lancar mw cari gampang,Positif,"['abis', 'update', 'tampikan', 'bagus', 'lancar', 'mw', 'cari', 'gampang']"
56,kereta api bookingnya mudah aplikase lancar,Positif,"['kereta', 'api', 'bookingnya', 'mudah', 'aplikase', 'lancar']"
57,update lancar bangettt rada lemot pesen bayrnya lbh mudah skrang,Positif,"['update', 'lancar', 'bangettt', 'rada', 'lemot', 'pesen', 'bayrnya', 'lbh', 'mudah', 'skrang']"
58,tolong atuh perbaiki kualitas pake ditingkatkan akun trs susah login loading banget ampun,Negatif,"['tolong', 'atuh', 'perbaiki', 'kualitas', 'pake', 'ditingkatkan', 'akun', 'trs', 'susah', 'login', 'loading', 'banget', 'ampun']"
59,kali kecewa update terbaru bagus lambat login nunggu pesan susah mohon solusinya,Negatif,"['kali', 'kecewa', 'update', 'terbaru', 'bagus', 'lambat', 'login', 'nunggu', 'pesan', 'susah', 'mohon', 'solusinya']"
60,semenjak update ringan lancar bet,Positif,"['semenjak', 'update', 'ringan', 'lancar', 'bet']"
61,gara gara update lemot bangattt,Negatif,"['gara', 'gara', 'update', 'lemot', 'bangattt']"
62,update apknya lancar nggu,Positif,"['update', 'apknya', 'lancar', 'nggu']"
63,enak palikasi cepat,Konflik,"['enak', 'palikasi', 'cepat']"
64,males pkenya update msuk loading ribet msen ge,Konflik,"['males', 'pkenya', 'update', 'msuk', 'loading', 'ribet', 'msen', 'ge']"
65,ribet pake kaipay mempermudah user kai pesen tikt fiturbarunya satset parah,Positif,"['ribet', 'pake', 'kaipay', 'mempermudah', 'user', 'kai', 'pesen', 'tikt', 'fiturbarunya', 'satset', 'parah']"
66,segi performa kai accsess terbaru lbih seblumnya booking tiekt mudah bayarnya pake qris fiturbuat pesen hotel lengkap,Positif,"['segi', 'performa', 'kai', 'accsess', 'terbaru', 'lbih', 'seblumnya', 'booking', 'tiekt', 'mudah', 'bayarnya', 'pake', 'qris', 'fiturbuat', 'pesen', 'hotel', 'lengkap']"
67,terbaru bukanya memudahkan menyusahkan bagus diupdate mudah dimengerti,Konflik,"['terbaru', 'bukanya', 'memudahkan', 'menyusahkan', 'bagus', 'diupdate', 'mudah', 'dimengerti']"
68,pake pesan gagal diaplikasi berhasil dna cepet lemot,Positif,"['pake', 'pesan', 'gagal', 'diaplikasi', 'berhasil', 'dna', 'cepet', 'lemot']"
69,segi performa kai accsess terbaru lbih seblumnya booking tiekt mudah bayarnya pake qris fiturbuat pesen hotel lengkap,Positif,"['segi', 'performa', 'kai', 'accsess', 'terbaru', 'lbih', 'seblumnya', 'booking', 'tiekt', 'mudah', 'bayarnya', 'pake', 'qris', 'fiturbuat', 'pesen', 'hotel', 'lengkap']"
70,kali kecewa update terbaru bagus lambat login nunggu pesan susah mohon solusinya,Negatif,"['kali', 'kecewa', 'update', 'terbaru', 'bagus', 'lambat', 'login', 'nunggu', 'pesan', 'susah', 'mohon', 'solusinya']"
71,diperbarui garibet pesen lemot lbih mudah beli skrng hhh seblumnya thx,Positif,"['diperbarui', 'garibet', 'pesen', 'lemot', 'lbih', 'mudah', 'beli', 'skrng', 'hhh', 'seblumnya', 'thx']"
72,bagus sayang lemotnya ampun memilih duduk tinggal menunggu kode time out ngga perjalanan mendadak beda cepat ngga loading,Negatif,"['bagus', 'sayang', 'lemotnya', 'ampun', 'memilih', 'duduk', 'tinggal', 'menunggu', 'kode', 'time', 'out', 'ngga', 'perjalanan', 'mendadak', 'beda', 'cepat', 'ngga', 'loading']"
73,udah bisapake qris kai access aya suka qris simpel ditambah uga aplikasinya satset,Positif,"['udah', 'bisapake', 'qris', 'kai', 'access', 'aya', 'suka', 'qris', 'simpel', 'ditambah', 'uga', 'aplikasinya', 'satset']"
74,pilihannya gabusa terakses running versi merugikan konsumen mendesak butuh reshcedulle gabisa coba telpon service center solusi coba manual unistall download install gabisa perhatian,Negatif,"['pilihannya', 'gabusa', 'terakses', 'running', 'versi', 'merugikan', 'konsumen', 'mendesak', 'butuh', 'reshcedulle', 'gabisa', 'coba', 'telpon', 'service', 'center', 'solusi', 'coba', 'manual', 'unistall', 'download', 'install', 'gabisa', 'perhatian']"
75,apk membantu detail kendala loadingnya cek jadwal commuter line susah mencari nama stasiun memakan loading hasil pencarian,Negatif,"['apk', 'membantu', 'detail', 'kendala', 'loadingnya', 'cek', 'jadwal', 'commuter', 'line', 'susah', 'mencari', 'nama', 'stasiun', 'memakan', 'loading', 'hasil', 'pencarian']"
76,sangatt lemott,Negatif,"['sangatt', 'lemott']"
77,diupdate beli mudah lancar ui diperbaiki jg keren versi versi bagus banget performanya,Positif,"['diupdate', 'beli', 'mudah', 'lancar', 'ui', 'diperbaiki', 'jg', 'keren', 'versi', 'versi', 'bagus', 'banget', 'performanya']"
78,mohon maaf update akses lambat memilih kursi timeout menunggu menghabiskan,Negatif,"['mohon', 'maaf', 'update', 'akses', 'lambat', 'memilih', 'kursi', 'timeout', 'menunggu', 'menghabiskan']"
79,lemooooooooooooottttttt bangettttttttt buka loadingnya jaringan bangus aplikasinya upgrade buka masukin otp email sms kasih otp,Negatif,"['lemooooooooooooottttttt', 'bangettttttttt', 'buka', 'loadingnya', 'jaringan', 'bangus', 'aplikasinya', 'upgrade', 'buka', 'masukin', 'otp', 'email', 'sms', 'kasih', 'otp']"
80,iya lancar efektif pemilihan kursi kursi mending efektif efisien,Positif,"['iya', 'lancar', 'efektif', 'pemilihan', 'kursi', 'kursi', 'mending', 'efektif', 'efisien']"
81,unggulan terbarunya menarik thanks kai aplikasinya bagus lancar trouble,Positif,"['unggulan', 'terbarunya', 'menarik', 'thanks', 'kai', 'aplikasinya', 'bagus', 'lancar', 'trouble']"
82,alamdulillah update akses lancar lemot memilih kursi timeout nunggu membuang,Positif,"['alamdulillah', 'update', 'akses', 'lancar', 'lemot', 'memilih', 'kursi', 'timeout', 'nunggu', 'membuang']"
83,update parah bug loading lemot update data nik berubah gmn team,Negatif,"['update', 'parah', 'bug', 'loading', 'lemot', 'update', 'data', 'nik', 'berubah', 'gmn', 'team']"
84,update colourfull lengkap jadwal commuterline suka versi kai performnya meningkt cepet,Positif,"['update', 'colourfull', 'lengkap', 'jadwal', 'commuterline', 'suka', 'versi', 'kai', 'performnya', 'meningkt', 'cepet']"
85,lihat jadwal kereta pesan udah lbih mudah sblmnya lemottt parah pdhal lgi urgent,Positif,"['lihat', 'jadwal', 'kereta', 'pesan', 'udah', 'lbih', 'mudah', 'sblmnya', 'lemottt', 'parah', 'pdhal', 'lgi', 'urgent']"
86,lancar banget gamapng,Positif,"['lancar', 'banget', 'gamapng']"
87,udah bisapake qris kai access aya suka qris simpel ditambah uga aplikasinya satset,Positif,"['udah', 'bisapake', 'qris', 'kai', 'access', 'aya', 'suka', 'qris', 'simpel', 'ditambah', 'uga', 'aplikasinya', 'satset']"
88,upgrade reduksi,Konflik,"['upgrade', 'reduksi']"
89,gini lancar severny kemaren koneksinya timeout diplikasi pesen,Positif,"['gini', 'lancar', 'severny', 'kemaren', 'koneksinya', 'timeout', 'diplikasi', 'pesen']"
90,bagus benr bagus performa,Positif,"['bagus', 'benr', 'bagus', 'performa']"
91,upgrade satset,Positif,"['upgrade', 'satset']"
92,nggk banget menit update membaik error persingkat detik worth pengguna hp proses loading,Negatif,"['nggk', 'banget', 'menit', 'update', 'membaik', 'error', 'persingkat', 'detik', 'worth', 'pengguna', 'hp', 'proses', 'loading']"
93,reduksi harga dihilangkan lemot ciri khas bumn bgt,Negatif,"['reduksi', 'harga', 'dihilangkan', 'lemot', 'ciri', 'khas', 'bumn', 'bgt']"
94,update lancar lemot seblumnya masuk apk lemot bgt sekarnang bli bepergian kereta jdi mudah pergi kerja,Positif,"['update', 'lancar', 'lemot', 'seblumnya', 'masuk', 'apk', 'lemot', 'bgt', 'sekarnang', 'bli', 'bepergian', 'kereta', 'jdi', 'mudah', 'pergi', 'kerja']"
95,update mudah login butuh login keren app terupdatenya,Positif,"['update', 'mudah', 'login', 'butuh', 'login', 'keren', 'app', 'terupdatenya']"
96,updetan versi terbaru bner bagus deh galemot banget sanagat memudhakan versi,Positif,"['updetan', 'versi', 'terbaru', 'bner', 'bagus', 'deh', 'galemot', 'banget', 'sanagat', 'memudhakan', 'versi']"
97,update lancar lemot seblumnya masuk apk lemot bgt sekarnang bli bepergian kereta jdi mudah pergi kerja,Positif,"['update', 'lancar', 'lemot', 'seblumnya', 'masuk', 'apk', 'lemot', 'bgt', 'sekarnang', 'bli', 'bepergian', 'kereta', 'jdi', 'mudah', 'pergi', 'kerja']"
98,lucu lemot parah,Negatif,"['lucu', 'lemot', 'parah']"
99,lemmootnya ampun tolong perbaiki sistemnya uninstal lemot bgt kya gini,Negatif,"['lemmootnya', 'ampun', 'tolong', 'perbaiki', 'sistemnya', 'uninstal', 'lemot', 'bgt', 'kya', 'gini']"
100,versi terbaru buruk login via email no hp muter sampe berkecambah,Negatif,"['versi', 'terbaru', 'buruk', 'login', 'via', 'email', 'no', 'hp', 'muter', 'sampe', 'berkecambah']"
101,buruk telat menit uang gabisa refund hangus rbu cuman beli angin,Negatif,"['buruk', 'telat', 'menit', 'uang', 'gabisa', 'refund', 'hangus', 'rbu', 'cuman', 'beli', 'angin']"
102,verifikasi kaipay kode otp muncul kaspro id kerja suka lemot,Konflik,"['verifikasi', 'kaipay', 'kode', 'otp', 'muncul', 'kaspro', 'id', 'kerja', 'suka', 'lemot']"
103,setelag update lemot fiturnya dibeli bufferingnya menyebabkan menunggu dipenukaran cetak boarding kereta membeli tiker kotapun lemot bufferingnya dicoba internal kai langsung main update maksimal,Negatif,"['setelag', 'update', 'lemot', 'fiturnya', 'dibeli', 'bufferingnya', 'menyebabkan', 'menunggu', 'dipenukaran', 'cetak', 'boarding', 'kereta', 'membeli', 'tiker', 'kotapun', 'lemot', 'bufferingnya', 'dicoba', 'internal', 'kai', 'langsung', 'main', 'update', 'maksimal']"
104,update lemot masuk segi oke performanya,Positif,"['update', 'lemot', 'masuk', 'segi', 'oke', 'performanya']"
105,diupdate mudah aplikasinya lemot mudah cek menyelesaikan step by step isi data penumpang update terbaru membantu puas,Positif,"['diupdate', 'mudah', 'aplikasinya', 'lemot', 'mudah', 'cek', 'menyelesaikan', 'step', 'by', 'step', 'isi', 'data', 'penumpang', 'update', 'terbaru', 'membantu', 'puas']"
106,lemooooooooooooottttttt bangettttttttt buka loadingnya jaringan bangus aplikasinya upgrade buka masukin otp email sms kasih otp,Negatif,"['lemooooooooooooottttttt', 'bangettttttttt', 'buka', 'loadingnya', 'jaringan', 'bangus', 'aplikasinya', 'upgrade', 'buka', 'masukin', 'otp', 'email', 'sms', 'kasih', 'otp']"
107,update lancar buka aplikasinya langsung satset tpi antarmukanya bagusan,Positif,"['update', 'lancar', 'buka', 'aplikasinya', 'langsung', 'satset', 'tpi', 'antarmukanya', 'bagusan']"
108,oke sistem lemot banget kukira jaringan lemot sampe restart hp berkali kali pesen seribet mending,Konflik,"['oke', 'sistem', 'lemot', 'banget', 'kukira', 'jaringan', 'lemot', 'sampe', 'restart', 'hp', 'berkali', 'kali', 'pesen', 'seribet', 'mending']"
109,update ngga zonk performa dll pengoperasian jugalebih efisien versi terbaru sumpah versi nyebelin aneh,Positif,"['update', 'ngga', 'zonk', 'performa', 'dll', 'pengoperasian', 'jugalebih', 'efisien', 'versi', 'terbaru', 'sumpah', 'versi', 'nyebelin', 'aneh']"
110,jadwal sholat versi,Netral,"['jadwal', 'sholat', 'versi']"
111,update kemarin bagus friendly user parah bayar habis mencet metode tolong menu reschedule refund dimunculkan berubah keberangkatan membantu ulasan kasih bintang smg tim kai memperbaiki,Konflik,"['update', 'kemarin', 'bagus', 'friendly', 'user', 'parah', 'bayar', 'habis', 'mencet', 'metode', 'tolong', 'menu', 'reschedule', 'refund', 'dimunculkan', 'berubah', 'keberangkatan', 'membantu', 'ulasan', 'kasih', 'bintang', 'smg', 'tim', 'kai', 'memperbaiki']"
112,update ngga zonk performa dll pengoperasian jugalebih efisien versi terbaru sumpah versi nyebelin aneh,Positif,"['update', 'ngga', 'zonk', 'performa', 'dll', 'pengoperasian', 'jugalebih', 'efisien', 'versi', 'terbaru', 'sumpah', 'versi', 'nyebelin', 'aneh']"
113,kai update otomatis hp seltah buka ccoba versi barunya emang user freandly syaa langsung pesan untk kebernagkatan surabaya commuterline pencarian bayarnya mudah bettt lancar suwun kai,Positif,"['kai', 'update', 'otomatis', 'hp', 'seltah', 'buka', 'ccoba', 'versi', 'barunya', 'emang', 'user', 'freandly', 'syaa', 'langsung', 'pesan', 'untk', 'kebernagkatan', 'surabaya', 'commuterline', 'pencarian', 'bayarnya', 'mudah', 'bettt', 'lancar', 'suwun', 'kai']"
114,tampilannya bagus masuk mbuat emosi banget,Negatif,"['tampilannya', 'bagus', 'masuk', 'mbuat', 'emosi', 'banget']"
