,ulasan,label,ulasan_token
115,fresh ampun loadingnya,Negatif,"['fresh', 'ampun', 'loadingnya']"
116,sy sadar apk upgrade tampilannya bagus lemot skli ngebug pesen kota tersedia gmna bagusan sy lihat balasan adminnya suruh update log udah sy coba ajaaaaaa apk versi pling terbaru,Konflik,"['sy', 'sadar', 'apk', 'upgrade', 'tampilannya', 'bagus', 'lemot', 'skli', 'ngebug', 'pesen', 'kota', 'tersedia', 'gmna', 'bagusan', 'sy', 'lihat', 'balasan', 'adminnya', 'suruh', 'update', 'log', 'udah', 'sy', 'coba', 'ajaaaaaa', 'apk', 'versi', 'pling', 'terbaru']"
117,bnyak menu lemot aplikasinya,Negatif,"['bnyak', 'menu', 'lemot', 'aplikasinya']"
118,apknya udah lemott satset jg suka pesen pilih kursinya enak versi skarang,Positif,"['apknya', 'udah', 'lemott', 'satset', 'jg', 'suka', 'pesen', 'pilih', 'kursinya', 'enak', 'versi', 'skarang']"
119,may bayar loading seblum performa meningkat,Positif,"['may', 'bayar', 'loading', 'seblum', 'performa', 'meningkat']"
120,update buka,Konflik,"['update', 'buka']"
121,lemot nambah sistem support,Negatif,"['lemot', 'nambah', 'sistem', 'support']"
122,jarang banget ngasi ulasan gini tp fix super lemot banget kukira tampilannya doang buka apk lemot poll kek gini bur buka pas scan barcode,Negatif,"['jarang', 'banget', 'ngasi', 'ulasan', 'gini', 'tp', 'fix', 'super', 'lemot', 'banget', 'kukira', 'tampilannya', 'doang', 'buka', 'apk', 'lemot', 'poll', 'kek', 'gini', 'bur', 'buka', 'pas', 'scan', 'barcode']"
123,lemot bgtt enakan pake apk sblm diupdate,Negatif,"['lemot', 'bgtt', 'enakan', 'pake', 'apk', 'sblm', 'diupdate']"
124,ribet jadwal habis lgsg off tp dibuka muncul jam keberangkatan nggak efisien nyari jam bangkunya lemot lemooooot banget selesai iai data pilih kursi loadingnya banget,Negatif,"['ribet', 'jadwal', 'habis', 'lgsg', 'off', 'tp', 'dibuka', 'muncul', 'jam', 'keberangkatan', 'nggak', 'efisien', 'nyari', 'jam', 'bangkunya', 'lemot', 'lemooooot', 'banget', 'selesai', 'iai', 'data', 'pilih', 'kursi', 'loadingnya', 'banget']"
125,masuk apk kai acces,Konflik,"['masuk', 'apk', 'kai', 'acces']"
126,lemooooooooooooottttttt bangettttttttt buka loadingnya jaringan bangus aplikasinya upgrade buka masukin otp email sms kasih otp,Negatif,"['lemooooooooooooottttttt', 'bangettttttttt', 'buka', 'loadingnya', 'jaringan', 'bangus', 'aplikasinya', 'upgrade', 'buka', 'masukin', 'otp', 'email', 'sms', 'kasih', 'otp']"
127,kai update otomatis hp seltah buka ccoba versi barunya emang user freandly syaa langsung pesan untk kebernagkatan surabaya commuterline pencarian bayarnya mudah bettt lancar suwun kai,Positif,"['kai', 'update', 'otomatis', 'hp', 'seltah', 'buka', 'ccoba', 'versi', 'barunya', 'emang', 'user', 'freandly', 'syaa', 'langsung', 'pesan', 'untk', 'kebernagkatan', 'surabaya', 'commuterline', 'pencarian', 'bayarnya', 'mudah', 'bettt', 'lancar', 'suwun', 'kai']"
128,lemot parah,Negatif,"['lemot', 'parah']"
129,update ringan cepat ux lihat detail harga inovasinya bagus,Positif,"['update', 'ringan', 'cepat', 'ux', 'lihat', 'detail', 'harga', 'inovasinya', 'bagus']"
130,saran pengurus kai zaman modern digital serba cepat batal pengembalian dana nunggu setahun tf dana,Negatif,"['saran', 'pengurus', 'kai', 'zaman', 'modern', 'digital', 'serba', 'cepat', 'batal', 'pengembalian', 'dana', 'nunggu', 'setahun', 'tf', 'dana']"
131,semenjak update udah ngak lemot membingungkan kereta penuh muncul untungnya pesen bayar aman gampang bgt,Positif,"['semenjak', 'update', 'udah', 'ngak', 'lemot', 'membingungkan', 'kereta', 'penuh', 'muncul', 'untungnya', 'pesen', 'bayar', 'aman', 'gampang', 'bgt']"
132,darisegi perfroma lbh versi seblmunya suka bgt barunya,Negatif,"['darisegi', 'perfroma', 'lbh', 'versi', 'seblmunya', 'suka', 'bgt', 'barunya']"
133,udah update versi terbaru tampilanya gemesssss banget sukaa lancarr banget,Positif,"['udah', 'update', 'versi', 'terbaru', 'tampilanya', 'gemesssss', 'banget', 'sukaa', 'lancarr', 'banget']"
134,lemooooooooooooottttttt bangettttttttt buka loadingnya jaringan bangus aplikasinya upgrade buka masukin otp email sms kasih otp,Negatif,"['lemooooooooooooottttttt', 'bangettttttttt', 'buka', 'loadingnya', 'jaringan', 'bangus', 'aplikasinya', 'upgrade', 'buka', 'masukin', 'otp', 'email', 'sms', 'kasih', 'otp']"
135,crash,Konflik,['crash']
136,setelag update lemot fiturnya dibeli bufferingnya menyebabkan menunggu dipenukaran cetak boarding kereta membeli tiker kotapun lemot bufferingnya dicoba internal kai langsung main update maksimal,Negatif,"['setelag', 'update', 'lemot', 'fiturnya', 'dibeli', 'bufferingnya', 'menyebabkan', 'menunggu', 'dipenukaran', 'cetak', 'boarding', 'kereta', 'membeli', 'tiker', 'kotapun', 'lemot', 'bufferingnya', 'dicoba', 'internal', 'kai', 'langsung', 'main', 'update', 'maksimal']"
137,suka apk diperbarui,Konflik,"['suka', 'apk', 'diperbarui']"
138,ok cepat lgsung,Positif,"['ok', 'cepat', 'lgsung']"
139,update terbaru oke kualitasnya bagus banget load pas buka appnya pas lancar banget pembayarannya mudah butuhkan cepet simple mudah,Positif,"['update', 'terbaru', 'oke', 'kualitasnya', 'bagus', 'banget', 'load', 'pas', 'buka', 'appnya', 'pas', 'lancar', 'banget', 'pembayarannya', 'mudah', 'butuhkan', 'cepet', 'simple', 'mudah']"
140,menyarankan mengembalikan antarmuka update sulit membedakan habis,Netral,"['menyarankan', 'mengembalikan', 'antarmuka', 'update', 'sulit', 'membedakan', 'habis']"
141,bagus sayang lemotnya ampun memilih duduk tinggal menunggu kode time out ngga perjalanan mendadak beda cepat ngga loading,Negatif,"['bagus', 'sayang', 'lemotnya', 'ampun', 'memilih', 'duduk', 'tinggal', 'menunggu', 'kode', 'time', 'out', 'ngga', 'perjalanan', 'mendadak', 'beda', 'cepat', 'ngga', 'loading']"
142,lemooooooooooooottttttt bangettttttttt buka loadingnya jaringan bangus aplikasinya upgrade buka masukin otp email sms kasih otp,Negatif,"['lemooooooooooooottttttt', 'bangettttttttt', 'buka', 'loadingnya', 'jaringan', 'bangus', 'aplikasinya', 'upgrade', 'buka', 'masukin', 'otp', 'email', 'sms', 'kasih', 'otp']"
143,bagus enak diliat gua lemot tampilannya enteng apk berat,Positif,"['bagus', 'enak', 'diliat', 'gua', 'lemot', 'tampilannya', 'enteng', 'apk', 'berat']"
144,bagus banget update bug lancar banget,Positif,"['bagus', 'banget', 'update', 'bug', 'lancar', 'banget']"
145,abis update tampikan bagus lancar mw cari gampang,Positif,"['abis', 'update', 'tampikan', 'bagus', 'lancar', 'mw', 'cari', 'gampang']"
146,update lancar antarmukanya bagusan,Positif,"['update', 'lancar', 'antarmukanya', 'bagusan']"
147,diupdate gabisa masuk apk,Netral,"['diupdate', 'gabisa', 'masuk', 'apk']"
148,pelanggan setia kai paus versi terbaruny memudahkan dlm pesan mudah cek kereta mudah bayrnya mudah tambahan yng berguna salutnya tambahan tpai lancar lemot lemot,Positif,"['pelanggan', 'setia', 'kai', 'paus', 'versi', 'terbaruny', 'memudahkan', 'dlm', 'pesan', 'mudah', 'cek', 'kereta', 'mudah', 'bayrnya', 'mudah', 'tambahan', 'yng', 'berguna', 'salutnya', 'tambahan', 'tpai', 'lancar', 'lemot', 'lemot']"
149,ribet pake kaipay mempermudah user kai pesen tikt fiturbarunya satset parah,Positif,"['ribet', 'pake', 'kaipay', 'mempermudah', 'user', 'kai', 'pesen', 'tikt', 'fiturbarunya', 'satset', 'parah']"
150,apk error aneh udah update kayak downgrade qris gagal udak top up dana link ovo tetep aneh banget qris gagal sampe uang habis top up apk tatapi berguna apk lemot banget badahal sinyal kenceng hp spek lumayan aneh banget apk,Negatif,"['apk', 'error', 'aneh', 'udah', 'update', 'kayak', 'downgrade', 'qris', 'gagal', 'udak', 'top', 'up', 'dana', 'link', 'ovo', 'tetep', 'aneh', 'banget', 'qris', 'gagal', 'sampe', 'uang', 'habis', 'top', 'up', 'apk', 'tatapi', 'berguna', 'apk', 'lemot', 'banget', 'badahal', 'sinyal', 'kenceng', 'hp', 'spek', 'lumayan', 'aneh', 'banget', 'apk']"
151,habis terganggu lemot ganti kursi penumpang niat email kirim cek disitu video kendalanya merespon bot pesan ka lokal eror tolong perbaiki,Negatif,"['habis', 'terganggu', 'lemot', 'ganti', 'kursi', 'penumpang', 'niat', 'email', 'kirim', 'cek', 'disitu', 'video', 'kendalanya', 'merespon', 'bot', 'pesan', 'ka', 'lokal', 'eror', 'tolong', 'perbaiki']"
152,diperbaharui lemot susah buka apkny sinyal bagus ngecek susah semoga diperbaiki dpt memudahkan penumpang apk kai,Konflik,"['diperbaharui', 'lemot', 'susah', 'buka', 'apkny', 'sinyal', 'bagus', 'ngecek', 'susah', 'semoga', 'diperbaiki', 'dpt', 'memudahkan', 'penumpang', 'apk', 'kai']"
153,lemooooooooooooottttttt bangettttttttt buka loadingnya jaringan bangus aplikasinya upgrade buka masukin otp email sms kasih otp,Negatif,"['lemooooooooooooottttttt', 'bangettttttttt', 'buka', 'loadingnya', 'jaringan', 'bangus', 'aplikasinya', 'upgrade', 'buka', 'masukin', 'otp', 'email', 'sms', 'kasih', 'otp']"
154,kereta api bookingnya mudah aplikase lancar,Positif,"['kereta', 'api', 'bookingnya', 'mudah', 'aplikase', 'lancar']"
155,udah gk lemot mesen lokal antarkota pake online apk lancar parah gk lemot memudahkan diperbarui huhuhhu suka,Positif,"['udah', 'gk', 'lemot', 'mesen', 'lokal', 'antarkota', 'pake', 'online', 'apk', 'lancar', 'parah', 'gk', 'lemot', 'memudahkan', 'diperbarui', 'huhuhhu', 'suka']"
156,bagus suka loading,Konflik,"['bagus', 'suka', 'loading']"
157,fresh ampun loadingnya,Negatif,"['fresh', 'ampun', 'loadingnya']"
158,performany darisebelumnya,Positif,"['performany', 'darisebelumnya']"
159,jujur versi simpel mempermudah tinggal pilih tanggal langsung lihat ketersediaan versi terbaru ribet klik keretanya lihat ketersediaan,Konflik,"['jujur', 'versi', 'simpel', 'mempermudah', 'tinggal', 'pilih', 'tanggal', 'langsung', 'lihat', 'ketersediaan', 'versi', 'terbaru', 'ribet', 'klik', 'keretanya', 'lihat', 'ketersediaan']"
160,jelek jelek kerja sulitnya pesan mending balikin ribet loadingnya darah,Negatif,"['jelek', 'jelek', 'kerja', 'sulitnya', 'pesan', 'mending', 'balikin', 'ribet', 'loadingnya', 'darah']"
161,lemot poll update lancar teros,Positif,"['lemot', 'poll', 'update', 'lancar', 'teros']"
162,mudah ruwet,Konflik,"['mudah', 'ruwet']"
163,lemot nambah sistem support,Negatif,"['lemot', 'nambah', 'sistem', 'support']"
164,lemot mesen lokal loading mesen online apk lemot parah udah sulit dipersulit,Negatif,"['lemot', 'mesen', 'lokal', 'loading', 'mesen', 'online', 'apk', 'lemot', 'parah', 'udah', 'sulit', 'dipersulit']"
165,proses lokal cepat banget ovo mudah,Positif,"['proses', 'lokal', 'cepat', 'banget', 'ovo', 'mudah']"
166,lancar banget kendala wktu efektif,Positif,"['lancar', 'banget', 'kendala', 'wktu', 'efektif']"
167,pelanggan setia kai paus versi terbaruny memudahkan dlm pesan mudah cek kereta mudah bayrnya mudah tambahan yng berguna salutnya tambahan tpai lancar lemot lemot,Positif,"['pelanggan', 'setia', 'kai', 'paus', 'versi', 'terbaruny', 'memudahkan', 'dlm', 'pesan', 'mudah', 'cek', 'kereta', 'mudah', 'bayrnya', 'mudah', 'tambahan', 'yng', 'berguna', 'salutnya', 'tambahan', 'tpai', 'lancar', 'lemot', 'lemot']"
168,berat bnget aplikasinya jadwal krl lengkap update buka menit device samsung galaxy game berat,Konflik,"['berat', 'bnget', 'aplikasinya', 'jadwal', 'krl', 'lengkap', 'update', 'buka', 'menit', 'device', 'samsung', 'galaxy', 'game', 'berat']"
169,senang pembaruan kai accesa update no hp gagal terbaru membantu pengguna performanya canggih cepet,Positif,"['senang', 'pembaruan', 'kai', 'accesa', 'update', 'no', 'hp', 'gagal', 'terbaru', 'membantu', 'pengguna', 'performanya', 'canggih', 'cepet']"
170,kendala pesen kereta pake kai mudah cepet,Positif,"['kendala', 'pesen', 'kereta', 'pake', 'kai', 'mudah', 'cepet']"
171,bagus banget update bug lancar banget,Positif,"['bagus', 'banget', 'update', 'bug', 'lancar', 'banget']"
172,updetan versi terbaru bner bagus deh galemot banget sanagat memudhakan versi,Positif,"['updetan', 'versi', 'terbaru', 'bner', 'bagus', 'deh', 'galemot', 'banget', 'sanagat', 'memudhakan', 'versi']"
173,diupdate mudah aplikasinya lemot mudah cek menyelesaikan step by step isi data penumpang update terbaru membantu puas,Positif,"['diupdate', 'mudah', 'aplikasinya', 'lemot', 'mudah', 'cek', 'menyelesaikan', 'step', 'by', 'step', 'isi', 'data', 'penumpang', 'update', 'terbaru', 'membantu', 'puas']"
174,otomatis terupdate versi memudahkan lancar pesan mudah kearena pp kerja commuter,Positif,"['otomatis', 'terupdate', 'versi', 'memudahkan', 'lancar', 'pesan', 'mudah', 'kearena', 'pp', 'kerja', 'commuter']"
175,dimana pesan reduksi update,Netral,"['dimana', 'pesan', 'reduksi', 'update']"
176,pilihannya gabusa terakses running versi merugikan konsumen mendesak butuh reshcedulle gabisa coba telpon service center solusi coba manual unistall download install gabisa perhatian,Negatif,"['pilihannya', 'gabusa', 'terakses', 'running', 'versi', 'merugikan', 'konsumen', 'mendesak', 'butuh', 'reshcedulle', 'gabisa', 'coba', 'telpon', 'service', 'center', 'solusi', 'coba', 'manual', 'unistall', 'download', 'install', 'gabisa', 'perhatian']"
177,update bermasalah login pengisian kode otp loading menunggu block jam masukkan kode otp qris kode qris kunjung muncul bayar jenis kelamin diubah direfresh jenis kelamin salah tertukar laki perempuan penumpang,Negatif,"['update', 'bermasalah', 'login', 'pengisian', 'kode', 'otp', 'loading', 'menunggu', 'block', 'jam', 'masukkan', 'kode', 'otp', 'qris', 'kode', 'qris', 'kunjung', 'muncul', 'bayar', 'jenis', 'kelamin', 'diubah', 'direfresh', 'jenis', 'kelamin', 'salah', 'tertukar', 'laki', 'perempuan', 'penumpang']"
178,lemot bgtttt abis upgrade tp kualitas downgrade bolak tinggal bayar lemotnya maasyaaallah apasi,Negatif,"['lemot', 'bgtttt', 'abis', 'upgrade', 'tp', 'kualitas', 'downgrade', 'bolak', 'tinggal', 'bayar', 'lemotnya', 'maasyaaallah', 'apasi']"
179,update lemot mending pakai bagus diganti semarwut unfaedah saran kembalikan mudah nyaman bagus,Negatif,"['update', 'lemot', 'mending', 'pakai', 'bagus', 'diganti', 'semarwut', 'unfaedah', 'saran', 'kembalikan', 'mudah', 'nyaman', 'bagus']"
180,habis update ribet lemot tolong benahi update dilalukan percobaan gmn cth pencarian stasiun kereta lambat loading stasiun temukan versi langsung ketemu cepat pilih duduk loading mnit blm slesai ahirnya beli traveloka balikin versi tes dlu jalan fiturnya apk luncurin smg benerin,Negatif,"['habis', 'update', 'ribet', 'lemot', 'tolong', 'benahi', 'update', 'dilalukan', 'percobaan', 'gmn', 'cth', 'pencarian', 'stasiun', 'kereta', 'lambat', 'loading', 'stasiun', 'temukan', 'versi', 'langsung', 'ketemu', 'cepat', 'pilih', 'duduk', 'loading', 'mnit', 'blm', 'slesai', 'ahirnya', 'beli', 'traveloka', 'balikin', 'versi', 'tes', 'dlu', 'jalan', 'fiturnya', 'apk', 'luncurin', 'smg', 'benerin']"
181,update terbaru bagus tp saran baikny harga habis terjual taruh gx bingung klu skrang kirain msh tiketny zonk,Positif,"['update', 'terbaru', 'bagus', 'tp', 'saran', 'baikny', 'harga', 'habis', 'terjual', 'taruh', 'gx', 'bingung', 'klu', 'skrang', 'kirain', 'msh', 'tiketny', 'zonk']"
182,selaraskan kebijakan keandalan aplikasinya peraturan calon penumpang kereta lokal pesan aplikasinya andalkan kecepatan pelayanan daya tarik calon penumpang penumpang nyaman performa buruk,Negatif,"['selaraskan', 'kebijakan', 'keandalan', 'aplikasinya', 'peraturan', 'calon', 'penumpang', 'kereta', 'lokal', 'pesan', 'aplikasinya', 'andalkan', 'kecepatan', 'pelayanan', 'daya', 'tarik', 'calon', 'penumpang', 'penumpang', 'nyaman', 'performa', 'buruk']"
183,gampang ni upgrade kwalitasnya,Konflik,"['gampang', 'ni', 'upgrade', 'kwalitasnya']"
184,kai access terupdete fiturnya lengkp lemot lancar pesan kereta lancar,Positif,"['kai', 'access', 'terupdete', 'fiturnya', 'lengkp', 'lemot', 'lancar', 'pesan', 'kereta', 'lancar']"
185,daftar diakses,Netral,"['daftar', 'diakses']"
186,diupdate aplikasinya lancar lemot,Positif,"['diupdate', 'aplikasinya', 'lancar', 'lemot']"
187,ngelag,Netral,['ngelag']
188,update gabisa masuk segi oke performanya buruk,Konflik,"['update', 'gabisa', 'masuk', 'segi', 'oke', 'performanya', 'buruk']"
189,ribet bagus,Konflik,"['ribet', 'bagus']"
190,lemmootnya ampun tolong perbaiki sistemnya uninstal lemot bgt kya gini,Negatif,"['lemmootnya', 'ampun', 'tolong', 'perbaiki', 'sistemnya', 'uninstal', 'lemot', 'bgt', 'kya', 'gini']"
191,enakan,Konflik,['enakan']
192,bagus banget update bug lancar banget,Positif,"['bagus', 'banget', 'update', 'bug', 'lancar', 'banget']"
193,unggulan terbarunya menarik thanks kai aplikasinya bagus lancar trouble,Positif,"['unggulan', 'terbarunya', 'menarik', 'thanks', 'kai', 'aplikasinya', 'bagus', 'lancar', 'trouble']"
194,diupgrade lancar proses login sampe pambayran,Positif,"['diupgrade', 'lancar', 'proses', 'login', 'sampe', 'pambayran']"
195,selaraskan kebijakan keandalan aplikasinya peraturan calon penumpang kereta lokal pesan aplikasinya andalkan kecepatan pelayanan daya tarik calon penumpang penumpang nyaman performa buruk,Negatif,"['selaraskan', 'kebijakan', 'keandalan', 'aplikasinya', 'peraturan', 'calon', 'penumpang', 'kereta', 'lokal', 'pesan', 'aplikasinya', 'andalkan', 'kecepatan', 'pelayanan', 'daya', 'tarik', 'calon', 'penumpang', 'penumpang', 'nyaman', 'performa', 'buruk']"
196,mangkin lengkap tpi ribet,Konflik,"['mangkin', 'lengkap', 'tpi', 'ribet']"
197,mending kai terbaru emosi lemot maksimal,Konflik,"['mending', 'kai', 'terbaru', 'emosi', 'lemot', 'maksimal']"
198,lemot masuk menu lemot kadang akun log out masuk log in,Negatif,"['lemot', 'masuk', 'menu', 'lemot', 'kadang', 'akun', 'log', 'out', 'masuk', 'log', 'in']"
199,update lemot,Negatif,"['update', 'lemot']"
200,gemes banget kai pake rubah enak lemot pollll fiturnya an please deh kembalikan kai,Negatif,"['gemes', 'banget', 'kai', 'pake', 'rubah', 'enak', 'lemot', 'pollll', 'fiturnya', 'an', 'please', 'deh', 'kembalikan', 'kai']"
201,megnecewakan update satset parah prommo kemerdekaan jgu membantu tengkyu kai,Positif,"['megnecewakan', 'update', 'satset', 'parah', 'prommo', 'kemerdekaan', 'jgu', 'membantu', 'tengkyu', 'kai']"
202,ui jelek simpel elegan,Konflik,"['ui', 'jelek', 'simpel', 'elegan']"
203,mudah lancar susah banget kl hapus email akun aktif skrg kl ganti nomer udh gampang bgt sukaaa,Positif,"['mudah', 'lancar', 'susah', 'banget', 'kl', 'hapus', 'email', 'akun', 'aktif', 'skrg', 'kl', 'ganti', 'nomer', 'udh', 'gampang', 'bgt', 'sukaaa']"
204,versi menarik tanpilan pesen langsung dapet macet lemot lancar suka qrisnya simepl,Positif,"['versi', 'menarik', 'tanpilan', 'pesen', 'langsung', 'dapet', 'macet', 'lemot', 'lancar', 'suka', 'qrisnya', 'simepl']"
205,apk crash memesan lancar kehabisan pembayarannya mudah menggunaakn qris,Positif,"['apk', 'crash', 'memesan', 'lancar', 'kehabisan', 'pembayarannya', 'mudah', 'menggunaakn', 'qris']"
206,terbaru lemot,Konflik,"['terbaru', 'lemot']"
207,aplikasinya mudah bagus lemot,Positif,"['aplikasinya', 'mudah', 'bagus', 'lemot']"
208,buka aplikasinya langkah prosesnya banget berbeda cepat kehalaman utama semoga diperbaiki terimakasih,Konflik,"['buka', 'aplikasinya', 'langkah', 'prosesnya', 'banget', 'berbeda', 'cepat', 'kehalaman', 'utama', 'semoga', 'diperbaiki', 'terimakasih']"
209,iya lancar efektif pemilihan kursi kursi mending efektif efisien,Positif,"['iya', 'lancar', 'efektif', 'pemilihan', 'kursi', 'kursi', 'mending', 'efektif', 'efisien']"
210,stelah updte app udah lancar commuter line eror,Positif,"['stelah', 'updte', 'app', 'udah', 'lancar', 'commuter', 'line', 'eror']"
211,jarang banget ngasi ulasan gini tp fix super lemot banget kukira tampilannya doang buka apk lemot poll kek gini bur buka pas scan barcode,Negatif,"['jarang', 'banget', 'ngasi', 'ulasan', 'gini', 'tp', 'fix', 'super', 'lemot', 'banget', 'kukira', 'tampilannya', 'doang', 'buka', 'apk', 'lemot', 'poll', 'kek', 'gini', 'bur', 'buka', 'pas', 'scan', 'barcode']"
212,kemudahan customer update an bintang update an terbarunya kai udah lemot jos mantp is best lancar jaya suka terbaru mudah dimengerti customer pengguna,Positif,"['kemudahan', 'customer', 'update', 'an', 'bintang', 'update', 'an', 'terbarunya', 'kai', 'udah', 'lemot', 'jos', 'mantp', 'is', 'best', 'lancar', 'jaya', 'suka', 'terbaru', 'mudah', 'dimengerti', 'customer', 'pengguna']"
213,pliss kai perbaiki apknya secepatmyaaaaa updet bnr bnr apk membantu beli lokal hrus pake apk gk pas beli lemooootttt banget penampilan bagus fungsional tolong banget perbaiki pagi telat kereta gk gra gra lemot apknya lemotnya pas log innya milih tiketnya dll dikasih mnit bayar abis loading udh ganti provider ttp,Negatif,"['pliss', 'kai', 'perbaiki', 'apknya', 'secepatmyaaaaa', 'updet', 'bnr', 'bnr', 'apk', 'membantu', 'beli', 'lokal', 'hrus', 'pake', 'apk', 'gk', 'pas', 'beli', 'lemooootttt', 'banget', 'penampilan', 'bagus', 'fungsional', 'tolong', 'banget', 'perbaiki', 'pagi', 'telat', 'kereta', 'gk', 'gra', 'gra', 'lemot', 'apknya', 'lemotnya', 'pas', 'log', 'innya', 'milih', 'tiketnya', 'dll', 'dikasih', 'mnit', 'bayar', 'abis', 'loading', 'udh', 'ganti', 'provider', 'ttp']"
214,tolong kenbalikan versi mudah dimengerti,Konflik,"['tolong', 'kenbalikan', 'versi', 'mudah', 'dimengerti']"
215,bagus banget update bug lancar banget,Positif,"['bagus', 'banget', 'update', 'bug', 'lancar', 'banget']"
216,bagus benr bagus performa,Positif,"['bagus', 'benr', 'bagus', 'performa']"
217,loading lamaaaaa banget pas pencarian kursi pas udah masuk udah dipilih apk kn blm milih kursi kadang lancar kadang gitu versi lancar,Konflik,"['loading', 'lamaaaaa', 'banget', 'pas', 'pencarian', 'kursi', 'pas', 'udah', 'masuk', 'udah', 'dipilih', 'apk', 'kn', 'blm', 'milih', 'kursi', 'kadang', 'lancar', 'kadang', 'gitu', 'versi', 'lancar']"
218,pelanggan setia kai paus versi terbaruny memudahkan dlm pesan mudah cek kereta mudah bayrnya mudah tambahan yng berguna salutnya tambahan tpai lancar lemot lemot,Positif,"['pelanggan', 'setia', 'kai', 'paus', 'versi', 'terbaruny', 'memudahkan', 'dlm', 'pesan', 'mudah', 'cek', 'kereta', 'mudah', 'bayrnya', 'mudah', 'tambahan', 'yng', 'berguna', 'salutnya', 'tambahan', 'tpai', 'lancar', 'lemot', 'lemot']"
219,versi lemot loadingnya pke akses masuk aplikasinya pindah menu jg lemot,Positif,"['versi', 'lemot', 'loadingnya', 'pke', 'akses', 'masuk', 'aplikasinya', 'pindah', 'menu', 'jg', 'lemot']"
220,jarang banget ngasi ulasan gini tp fix super lemot banget kukira tampilannya doang buka apk lemot poll kek gini bur buka pas scan barcode,Negatif,"['jarang', 'banget', 'ngasi', 'ulasan', 'gini', 'tp', 'fix', 'super', 'lemot', 'banget', 'kukira', 'tampilannya', 'doang', 'buka', 'apk', 'lemot', 'poll', 'kek', 'gini', 'bur', 'buka', 'pas', 'scan', 'barcode']"
221,maaf pakai connecting train banyuwangi cikarang down grade,Konflik,"['maaf', 'pakai', 'connecting', 'train', 'banyuwangi', 'cikarang', 'down', 'grade']"
222,udah maakin lancar lemot enak kayak perpaduan warna cocok,Positif,"['udah', 'maakin', 'lancar', 'lemot', 'enak', 'kayak', 'perpaduan', 'warna', 'cocok']"
223,lancar banget kendala wktu efektif,Positif,"['lancar', 'banget', 'kendala', 'wktu', 'efektif']"
224,update colourfull lengkap jadwal commuterline suka versi kai performnya meningkt cepet,Positif,"['update', 'colourfull', 'lengkap', 'jadwal', 'commuterline', 'suka', 'versi', 'kai', 'performnya', 'meningkt', 'cepet']"
225,versi lemot pol mending versi,Konflik,"['versi', 'lemot', 'pol', 'mending', 'versi']"
226,tools tp lemot suka time out,Negatif,"['tools', 'tp', 'lemot', 'suka', 'time', 'out']"
227,membuka pembaruan,Netral,"['membuka', 'pembaruan']"
228,update lemot bgt,Negatif,"['update', 'lemot', 'bgt']"
229,hah gabisa dibuka samsek daritadi buka muncul logone tok berfungsi samsek,Negatif,"['hah', 'gabisa', 'dibuka', 'samsek', 'daritadi', 'buka', 'muncul', 'logone', 'tok', 'berfungsi', 'samsek']"
