,kalimat
44,cukup membantu dalam mencari informasi mengenai jadwal ka dan promo
169,ini penurunan bukan meningkatkan. buruk
65,semenjak perbaruan pesan tiket kereta memuatnya lama banget. parah. jadi ketinggalan kereta gara-gara mau pesan tiket tetapi memuatnya gila lama banget. kecewa.
283,"saya pelanggan setia kali merasa paus dengan versi terbarunya memudahkan dalam segala hal pesan tiket mudah, cek tiket kereta mudah, bayarnya mudah, fitur tambahan yang juga berguna bagi saya. salutnya dengan tambahan fitur yang banyak tapi masih lancar terus enggak lambat lambat"
85,"halo, menurut saya penggunaan aplikasi kali acces terbaru ini kurang memuaskan karena sistem yang kurang responsif membuat saya melakukan pembayaran melalui kai - pay dengan tiket yang sama, padahal niat awal hanya ingin merefresh saja. tolong dibenahi supaya tidak ada konsumen yang mengalami hal kurang menyenangkan seperti saya, terima kasih."
242,aplikasinya mempermudah dan bagus
186,"setelah memperbarui malah enggak lambat masuknya, dari segi tampilan makin oke dan performanya makin baik"
326,"parah enak versi dahulu. dahulu enggak bingung mau lihat tiket yang sudah dipesan di mana, sekarang kebanyakan printilan-printilan yang enggak guna banget sumpah"
159,"saya beli tiket 1 tetapi kok bayarnya dobel? saya isi saldo kai pay 30 ribu, harga tiket kereta api lokal 12.000, saya beli tiket untuk 1 orang saja. kok tiba-tiba saldo saya tinggal 6.000? kok pembayaran bisa dobel begitu, tolong pihak kai kejelasaannya"
12,"aduh repot banget sih, tiket saya hilang karena enggak bisa masuk ke akun lama"
35,"versi terbaru, tetapi makin buruk. masuk via surel dan nomor telepon seluler tetap saja berkecambah"
28,"lumayan membantu membeli tiket kereta api tanpa admin huhudy ""y = dy"" y = lancar juga tidak ada kendala saat melakukan pemesanan, perbarui anggotanya kok susah admin obadahal sudah sesuai bagus yang sebelumnya, padah akan sebelumnya sudah banyak banget pesan tiketnya"
170,dalam proses pemesanan tiket lebih ribet dan memakan waktu yang lebih lama daripada versi yang dahulu
142,"pembaruannya bagus, tetapi susah sekarang daftar kaipaynya, sudah begitu bayar pakai kai juga susah"
236,"lemot banget banget, setiap mau buka memuatnya lama padahal jaringan sudah bangus terus aplikasinya harus ditingkatkan. setiap mau buka harus masukkan otp-nya entah lewat surel / sms, padahal sebelumnya pernah kasih otp,"
539,"sangat lancar buat pesan tiket kereta, pesan hotel juga bisa lewat kai sekarang"
514,aplikasi versi lama suka lama kalau sudah masuk ke pembayaran tetapi versi baru ini jadi lebih lancar dan mudah buat cari & pesan tieknya
577,"ini setelah diperbarui kenapa aplikasinya jadi lambat banget admin, bahkan keluar sendiri, pas mau masuk jadi enggak bisa masuk keterangannya ""failed request"" padahal udah biasa dahulu pakai kai acces, tolong dong kalau memang harus pakai aplikasi, aplikasinya ya dibikin simpel dan mudah aksesnya jangan jadi malah susah begini."
221,tampilan barunya malah bikin bingung
558,ternyata harus mengulang telepon seluler setelah perbarui aplikasi biar enggak lambat
95,"habis tak memperbarui tampilkan baru malah makin bagus dan jadi makin lancar, mau cari tiket juga gampang"
51,ha ini apa malah jadi enggak bisa dibuka sama sekali dari tadi buka cuma muncul logone tok enggak berfungsi sama sekali
240,ini kenapa kok enggak bisa bayar pakai tautan saja
522,"setelah memperbarui yang terbaru tampilan oke, kualitasnya juga bagus banget. memuat pas buka aplikasinya juga enggak lama, pas mau ke pembayaran juga lancar banget, pembayarannya dapat dilakukan dengan mudah. ini nih aplikasi yang kita butuhkan cepat, simpel, dan mudah."
351,"setelah memperbarui enggak ada masalah, masuk aman, cek fitur lain aman, aplikasinya lebih lembut. padahal telepon selulerku kentang lo dy? ps"
530,aplikasi berat banget. benarkanlah mau pergi pergi naik kereta jadi susah. pembaruan malah bikin aplikasi rusak
178,tampilan baru. bukan lebih mempermudah tetapi lebih mempersulit. kasihan kalau orang awam untuk melakukan pemesanan lewat aplikasi kai access.
460,aplikasi diperbarui malah langkah selamat tinggal banget ya allah bagaimana kalau yang buru-buru dyy = oh waktu pembayaran juga habis sama lambat!
540,kesulitan untuk pembayaran via qris. padahal aplikasi sebelum diperbarui aman tanpa kendala. eror.
41,aplikasi versi lama suka lama kalau sudah masuk ke pembayaran tetapi versi baru ini jadi lebih lancar dan mudah buat cari & pesan tieknya
569,"dari segi performa kai akses terbaru lebih baik daripada sebelumnya, pesan tiek makin mudah dan bayarnya bisa pakai qris ada fiturbuat pesan hotel juga lengkap"
536,"aplikasi ini kerend $? (sih) jadi lebih mudah deh pesan tiket untuk bepergian, semangat sahabat kaidy? (si)"
206,"setelah memperbarui, aplikasi sering bermasalah. (1) tidak bisa masuk ke aplikasi setelah pengisian kode otp karena selalu memuat sehingga harus menunggu diblokir 1 jam karena terlalu sering masukkan kode otp (2) ingin melakukan pembayaran melalui qris namun kode qris tidak kunjung muncul sehingga tidak bisa bayar tiket (3) jenis kelamin sudah diubah namun setelah di-refresh kembali lagi ke jenis kelamin yang salah (tertukar antara laki dan perempuan) untuk semua penumpang."
392,"setelah memperbarui jadi pengguna dan enggak ribet. qris juga sudah ke deteksi waktu bayar, enggak perlua waktu lama buat bayarnya cepat langsung bisa selesai"
282,"setelah memperbarui jadi lancar, tetapi tampilan antarmukanya bagusan yang sebelumnya"
358,bagus
397,the besta (tm) y = dy (tm)
254,semenjak memperbarui jadi tidak berat tetapi tampilan ininya saya enggak nyaman
515,iya sih makin lancar tetapi aplikasi yang baru tidak efektif dalam pemilihan kursi. tampilan kursi mending di aplikasi yang lama lebih efektif dan efisien
217,"terlalu bnyak menu semakin lemot aplikasinya...."
4,aplikasinya sangat mudah digunakan tambah bagus dan tidak lambat
256,"setelah memperbarui aplikasi menjadi sangat lambat di semua fiturnya, terutama di fitur tiket saya! tiket yang sudah dibeli lama sekali prasmanannya menyebabkan kelamaan menunggu dipenukaran tiket / cetak pemboardan. dan fitur kereta untuk membeli tiker antar kota pun demikian begitu lambat pertanya. mungkin seharusnya dicoba terlebih dahulu di internal kai jangan langsung main perbarui tetapi aplikasi belum bisa maksimal."
578,semenjak pembaruan aplikasi jadi ringan dan lancar banget
547,baru buka aplikasi saja kok sudah lambat ya? padahal sudah ditingkatkan
98,"diperbarui malah lancar banget yang dahulu rada ""lemot soalnya, buat pesan tiket & bayarnya lebih mudah sekarang"
406,tampilan baru malah makin buruk.
502,"sudah perbarui, ui yang baru tetapi kualitas makin buruk. mau lihat jadwal kerlu dari jalur rangkas - tanah abang saja enggak bisa"
47,perbaiki aplikasinya bagus sekali pesan kak lokal deh makin mudah daripada yang dahulu
32,pembuatan yang baru bagus dan lancar di pembayaran pakai qris-nya juga lancar
200,ada pembaruan bukannya tambah oke malah buruk
134,"sebelumnya saya sudah beli tiket pakai aplikasi lama, terus saya cek. di aplikasi tiket saya hilang tuh. pertanggungjawabannya bagaimana?"
27,"setelah memperbarui jadi lancar, tetapi tampilan antarmukanya bagusan yang sebelumnya"
538,alhamdulillah beberapa kali perjalanan pesan tiket lewat aplikasi ini lancar jaya tanpa ada kendala apapun. dan di loket cekkan cukup menunjukkan barkot di tiket daring saja tanpa perlu mencerak / cetak dahulu. semoga makin sukses kai
230,baru tahu kai access ada pembaruan. pas mau pesan tiket aplikasinya lancar banget
489,pembaruan terbaru malah jadi parah. tambah lemot dan tambah ribet
378,"ternyata tidak sepenuhnya memudahkan proses pengembapan, tetap diminta ktp untuk pengecekan. apa gunanya kita mengisi data pribadi saat buat akun kalau hanya bikin ribet cek ktp? aplikasi tidak berguna. dyy = + - dyy = + - tambahan tampilan juga bikin ribet kalau mau pilih kereta, beda dengan aplikasi sebelumnya, jadi menyesal ditingkatkan ke access kaidyy = + - dyy = + -"
288,"secara user interface lebih baik yang sebelumnya, mungkin ya memang lebih terkesan moderen atau bagus dipandang. Namun sedikit saran untuk bagian pemilihan tiket apabila semua tiket pada kategori tersebut habis maka seharusnya otomatis turun atau pindah ke bawah seperti dulu, serta harusnya ada perubahan harga dari harga mulai dari menjadi tiket paling murah yang tersedia sehingga lebih memudahkan percarian tiket sesuai kebutuhan"
Apk sering error aneh udah update malah rasanya kayak downgrade sering tidak bisa pembayaran melalui qris sering gagal udak top up dana, link aja, ovo, tetep tidak bisa aneh banget qris nya sering gagal sampe uang habis cuma buat top up apk" tersebut tatapi tidak berguna. Sama apk nya lemot banget badahal sinyal kenceng hp juga spek lumayan. Aneh banget dah apk nya
418,tampilan baru. bukan lebih mempermudah tetapi lebih mempersulit. kasihan kalau orang awam untuk melakukan pemesanan lewat aplikasi kai access.
391,"pliss kai segera perbaiki aplikasinya secepatnya!, setelah perbarui benar-benar aplikasi tidak membantu! apalagi beli tiket lokal harus pakai aplikasi enggak bisa di luar. pas mau beli malah lemot banget, sangat percuma penampilan bagus tetapi enggak fungsional. tolong banget segera perbaiki, tadi pagi saya telat naik kereta dan enggak jadi naik gara-gara lambat aplikasinya! lemotnya di semua mau pas masuknya. memilih tiketnya, pembayaran dll. dikasih waktu 5 menit buat bayar tetapi waktunya habis sama memuat, sudah ganti penyedia tetap."
498,"saat ini aplikasinya malah jadi kurang membantu detail kendala. memuatnya lama sekali, saat mau cek jadwal komuter line susah sekali mencari nama stasiun. memakan banyak waktu memuat namun hasil pencarian malah tidak keluar."
138,tampilan baru malah makin buruk.
62,tampilan memang bersenang-senang dan youth. fasilitas lebih banyak tetapi masih belum berfungsi. tetapi namanya jadi tidak spesial. orang lebih mudah mencari kai dari pada access. nama kai access lebih keren dan spesial menunjukkan identitas aplikasi pesan tiket kereta api. lah kalau access ini maknanya apa? revamp ya revamp. tetapi enggak jadi lebih aneh begitu. jadi ingat bikin stasiun tetapi lupa buat jalan akses. kan aneh. hem mungkin mau buat kayak livin melalui mandiri
471,"fitur lebih banyak dan tampilan lebih bagus tetapi sayang lambat minta ampun, untuk memilih tempat duduk lama sekali, pembayaran tinggal menunggu kode pembayaran lama dan akhirnya time out, akhirnya jadi enggak dapat tiket, padahal ini untuk perjalanan mendadak. beda jauh dengan waktu aplikasi yang lama, saat set bisa cepat enggak memuat terus."
128,diperbarui malah bisa beli tiket dengan mudah. lancar terus. ui-nya yang diperbaiki juga lebih keren. lebih baik dari versi yang lama. versi yang baru bagus banget performanya.
599,"sudah perbarui jadi makin bagus malah jadi makin memudahkan, saat pembayaran menggunakan e-wallet jadi mudah sekali, lebih bagus daripada kai access versi lama."
520,"waktu pemesanan habis terus, pembayaran terganggu, aplikasi lambat, enggak bisa ganti kursi penumpang. niat bikin aplikasi apa enggak sih?. surel yang saya kirim segera dicek, di situ ada video kendalanya. jangan merespons seperti bot. pesan tiket ka lokal eror. tolong perbaiki"
64,"lancar di telepon selulerku tetapi dengan spesifikasi lumayan tinggi lo, enggak tahu kok orang-orang bilanyalamot banget tetapi di aku lancar. banyak promo hotel juga"
14,"ini bagaimana aplikasi barunya kok eror? saya mau pesan tiket jadi enggak bisa, gara-gara tiap mau bayar selalu time tekan padahal baru saja di klik tiba-tiba sudah time tepat, sampai saya keluar dan copot ulang tetap enggak bisa, mau hapus akun saja sekalian juga enggak bisa, alasannya karena ada tiket perjalanan yang belum selesai padahal tidak ada sama sekali orang mau beli tiket baru saja enggak bisa kok. bagaimana dong ini solusinya? jadi susah mau beli tiket harus menyuruh adik saya pakai akunnya"
156,bagus. benar-benar bagus baik performa & tampilan
40,tampilan oke pemesanan cepat langsung dapat
492,"makin di meningkatkan makin lancar pesan tiket juga makin mudah, tetapilannya juga lebih mordern suka banget lebih segar"
379,"alhamdulillah jadi lebih mudah. lancar, dahulu susah banget kalau mau hapus surel (akun) karena sudah tidak aktif, sekarang kalau mau ganti nomor caranya sudah gampang banget. suka"
187,tampilan oke pemesanan cepat langsung dapat
216,terpercaya
52,"setelah memperbarui jadi pengguna dan enggak ribet. qris juga sudah ke deteksi waktu bayar, enggak perlua waktu lama buat bayarnya cepat langsung bisa selesai"
337,lebih mudah untuk pemesanan tiket
295,"tampilan yang sekarang bagus dan mudah, sangat nyaman"
251,setelah berubah aplikasinya untuk cek tiket saja membutuhkan proses memuat lama
461,"tampilan jauh lebih baik dengan fitur unggulan terbarunya yang menarik, terima kasih kai aplikasinya bagus dan lancar tidak ada masalah"
455,"ini setelah diperbarui kenapa aplikasinya jadi lambat banget admin, bahkan keluar sendiri, pas mau masuk jadi enggak bisa masuk keterangannya ""failed request"" padahal udah biasa dahulu pakai kai acces, tolong dong kalau memang harus pakai aplikasi, aplikasinya ya dibikin simpel dan mudah aksesnya jangan jadi malah susah begini."
613,"setelah memperbarui aplikasi menjadi sangat lambat di semua fiturnya, terutama di fitur tiket saya! tiket yang sudah dibeli lama sekali prasmanannya menyebabkan kelamaan menunggu dipenukaran tiket / cetak pemboardan. dan fitur kereta untuk membeli tiker antar kota pun demikian begitu lambat pertanya. mungkin seharusnya dicoba terlebih dahulu di internal kai jangan langsung main perbarui tetapi aplikasi belum bisa maksimal."
269,eror 'daftar pesanan kosong ditingkatkan gagal terus tumbid siap harga promo enggak bisa dipesan ditingkatkan begitu terus
201,aplikasinya mempermudah dan bagus
161,"aplikasi enggak banget, secara dahulu waktu untuk pembayaran selama 10 menit. sekarang setelah diperbarui bukannya malah membaik malahan sering terjadi eror ketika akan melakukan pembayaran, bahkan untuk waktunya sekarang di persingkat hanya 30 detik. tidak setimpal bagi pengguna telepon seluler yang di rasa dengan proses memuat yang cukup lama. di ~ sdy ~,"
401,bagus. benar-benar bagus baik performa & tampilan
476,"alhamdulillah jadi lebih mudah. lancar, dahulu susah banget kalau mau hapus surel (akun) karena sudah tidak aktif, sekarang kalau mau ganti nomor caranya sudah gampang banget. suka"
105,"setelah memperbarui jadi pengguna dan enggak ribet. qris juga sudah ke deteksi waktu bayar, enggak perlua waktu lama buat bayarnya cepat langsung bisa selesai"
389,"sebelumnya saya sudah beli tiket pakai aplikasi lama, terus saya cek. di aplikasi tiket saya hilang tuh. pertanggungjawabannya bagaimana?"
1,"poin penting ulasan kai access > access by kai 1. dari semua yang paling mencolok adalah fitur pemesanan opsi railfood dan layanan lainnya seharusnya tidak perlu masuk, biarkan itu dipesan sendiri. karena menurut saya jadi tidak efisien saat masa hari raya yang lalu lintas pemesanan tiket padat, apalagi jika dikejar waktu. 2. kemudian pemilihan kursi, tampilan denah kursi terlalu besar sehingga harus gulir lama dan tidak ramah penggunaan, begitu kiga dengan opsi gerbong yang ada di bawah seperti itu."
573,fiturnya banyak. sepaket lambat juga minta ampun.
80,tampilan oke pemesanan cepat langsung dapat
205,"pembaruan terbaru, tampilan terbaru, bukannya memperbaiki, malah mempersulit, tiket sudah habis untuk apa masih pada menongol. lebih suka tampilan yang lama, simpel dan tidak beribet"
34,"tampilan yang sekarang bagus dan mudah, sangat nyaman"
508,"sangat tidak ramah untuk penggunaan pembelian tiket harusnya cuma isi data diri, pilih kursi, langsung bayar sekarang ada pembelian makanan, tiket transportasi dll. sangat menganggu proses transaksi harusnya di pisah dari tools utama yaitu pembelian tiket jangan diselipi untuk pesan makanan maupun akomodasi transportasi. terima kasih"
427,"kalau dibandingkan kai yang dahulu sama sekarang beda banget dari segi performanya makin lancar dari pesan tiket, bayarnya, tampilannya menarik juga ditambah fitur-fitur terbaru yang bermanfaat banget menurut saya"
454,"diperbarui makin bagus, lancar terus fiturnya juga banyak dan lengkap jadi pesan tiket kereta bisa selain pesan hotel beli kuota internet juga"
366,bikin aplikasi kok sampai enggak bisa diakses / eror. sampai hampir enggak bisa dapat tiket di aplikasi gara-gara eror. akhirnya ya manual di stasiun.
91,"mau masuk lancar banget, proses ke pembayaran juga lancar, sampai-sampai waktu pembayaran hanya butuh waktu yang cepat enggak lama. ini aplikasi super lancar dari segala-segalanya"
339,"setelah memperbarui, aplikasi sering bermasalah. (1) tidak bisa masuk ke aplikasi setelah pengisian kode otp karena selalu memuat sehingga harus menunggu diblokir 1 jam karena terlalu sering masukkan kode otp (2) ingin melakukan pembayaran melalui qris namun kode qris tidak kunjung muncul sehingga tidak bisa bayar tiket (3) jenis kelamin sudah diubah namun setelah di-refresh kembali lagi ke jenis kelamin yang salah (tertukar antara laki dan perempuan) untuk semua penumpang."
564,"aplikasi ini kerend $? (sih) jadi lebih mudah deh pesan tiket untuk bepergian, semangat sahabat kaidy? (si)"
345,"aplikasi perbaruan terbaru bagus, tetapi saran aku baiknya harga-harga tiket yang sudah habis terjual, ditaruh paling bawah seperti aplikasi sebelumnya supaya enggak bingung. kalau sekarang dikira masih ada tiketnya, ternyata tidak sesuai harapan."
241,memperbarui jadi ringan dan lebih cepat. ux buat lihat detail harga inovasinya bagus
13,"lemot banget banget, setiap mau buka memuatnya lama padahal jaringan sudah bangus terus aplikasinya harus ditingkatkan. setiap mau buka harus masukkan otp-nya entah lewat surel / sms, padahal sebelumnya pernah kasih otp,"
315,aplikasi terbaru otomatis. tampilannya sekarang tambah ribet dan bikin bingung. lebih simpel tampilan yang lama. seharusnya kalau memang ada perbarui lebih mempermudah. ini malah sebaliknya.
387,"jarang banget mengasih ulasan begini, tetapi ini pasti super lambat banget, kukira makin baik, eh cuma tampilannya doang, masa mau buka aplikasi saja lemot pol, kalau kayak begini, kan enggak bisa bur ""buka pas mau penipuan kode ya"
273,"aplikasi setelah pembaruan justru enggak jelas, makin ribet!"
166,"setelah memperbarui malah makin lancar enggak lambat, sebelumnya saat masuk ke aplikasinya lambat banget, sekarang yang mau bli tiket atau mau berpergian naik kereta jadi mudah apalagi yang mau pergi kerja"
610,"sudah perbarui jadi makin bagus malah jadi makin memudahkan, saat pembayaran menggunakan e-wallet jadi mudah sekali, lebih bagus daripada kai access versi lama."
484,"fitur kai pay ada penipuan karena tetapi tidak berfungsi apa apa, tidak bisa untuk pembayaran penipuan karena. saya yang salah atau aplikasinya yang salah ya, padahal ads saldo lumayan di situ, sisa dari pembelian tiket."
601,"wah tampilannya sekarang oke banget. cuma sayang metode pembayaran masih dibatasi kartu debit mandiri sama ovo. mohon tambahkan dong wallet gopay dan dana. terus debit bri, mandiri, sama bca."
504,sudah banyak plusnya daripada yang lama metode pembayaran juga banyak beli tiket ka jadi sangat mudah banget lacar juga
243,kecewa banget dengan kereta suka macet jadi menghambat perjalanan
566,"aplikasi perbaruan terbaru bagus, tetapi saran aku baiknya harga-harga tiket yang sudah habis terjual, ditaruh paling bawah seperti aplikasi sebelumnya supaya enggak bingung. kalau sekarang dikira masih ada tiketnya, ternyata tidak sesuai harapan."
562,"tampilan interface tidak ramah setelah pembaruan enggak suka banget bikin mata sakit, tetapi menarik, untung makin lancar pesan tiketnya mudah bayarnya juga bisa pakai ovo, soalnya saya pengguna ovo banget"
189,"setelah memperbarui enggak ada masalah, masuk aman, cek fitur lain aman, aplikasinya lebih lembut. padahal telepon selulerku kentang lo dy? ps"
475,sudah lancar banget buat beli dan cari tiket malah tambah enak dipandaang kali terbarunya
510,"pembaruan otomatis, biasanya tiket kereta yang sudah habis enggak ditampilkan ini yang sudah habis ditampilkan kira masih tersedia"
58,"saya beli tiket 1 tetapi kok bayarnya dobel? saya isi saldo kai pay 30 ribu, harga tiket kereta api lokal 12.000, saya beli tiket untuk 1 orang saja. kok tiba-tiba saldo saya tinggal 6.000? kok pembayaran bisa dobel begitu, tolong pihak kai kejelasaannya"
474,aplikasi terbaru otomatis. tampilannya sekarang tambah ribet dan bikin bingung. lebih simpel tampilan yang lama. seharusnya kalau memang ada perbarui lebih mempermudah. ini malah sebaliknya.
560,"sebelumnya saya sudah beli tiket pakai aplikasi lama, terus saya cek. di aplikasi tiket saya hilang tuh. pertanggungjawabannya bagaimana?"
252,eror 'daftar pesanan kosong ditingkatkan gagal terus tumbid siap harga promo enggak bisa dipesan ditingkatkan begitu terus
21,tampilan baru. bukan lebih mempermudah tetapi lebih mempersulit. kasihan kalau orang awam untuk melakukan pemesanan lewat aplikasi kai access.
313,"saya pelanggan setia kali merasa paus dengan versi terbarunya memudahkan dalam segala hal pesan tiket mudah, cek tiket kereta mudah, bayarnya mudah, fitur tambahan yang juga berguna bagi saya. salutnya dengan tambahan fitur yang banyak tapi masih lancar terus enggak lambat lambat"
459,aplikasinya sangat lama. saya batal terus saat mau bayar karena memuatnya lama sampai waktu limit pembayarannya habis
160,"fitur kai pay ada penipuan karena tetapi tidak berfungsi apa apa, tidak bisa untuk pembayaran penipuan karena. saya yang salah atau aplikasinya yang salah ya, padahal ads saldo lumayan di situ, sisa dari pembelian tiket."
276,"lemot banget banget, setiap mau buka memuatnya lama padahal jaringan sudah bangus terus aplikasinya harus ditingkatkan. setiap mau buka harus masukkan otp-nya entah lewat surel / sms, padahal sebelumnya pernah kasih otp,"
191,"jadi makin ribet. bagi orang-orang tua ini menyusahkan ya ui ux-nya, kalau dahulu lebih sederhana,"
385,setelah saya perbarui lagi aplikasinya sudah lebih lancar pemesanan tiket commuter line sudah tidak eror lagi
413,"pembaruan otomatis, biasanya tiket kereta yang sudah habis enggak ditampilkan ini yang sudah habis ditampilkan kira masih tersedia"
491,biasanya lambat pol. tetapi setelah memperbarui malah lancar terus
343,"sudah perbarui jadi makin bagus malah jadi makin memudahkan, saat pembayaran menggunakan e-wallet jadi mudah sekali, lebih bagus daripada kai access versi lama."
308,pembuatan yang baru bagus dan lancar di pembayaran pakai qris-nya juga lancar
130,"lemot banget banget, setiap mau buka memuatnya lama padahal jaringan sudah bangus terus aplikasinya harus ditingkatkan. setiap mau buka harus masukkan otp-nya entah lewat surel / sms, padahal sebelumnya pernah kasih otp,"
99,tolong dong perbaiki kualitasnya kan banyak yang pakai aplikasi ini seharusnya lebih ditingkatkan lagi. jangan tiba-tiba keluar sendiri akunnya terus susah masuk laginya memuatnya lama banget ampun
372,"lemot saat masuk menu. saat lambat kadang akun sudah keluar, lalu saat masuk lagi sudah masuk."
87,sudah banyak plusnya daripada yang lama metode pembayaran juga banyak beli tiket ka jadi sangat mudah banget lacar juga
458,"pembaruannya bagus, bagus banget, apalagi tampulannya jadi lebih baru"
330,"setelah memperbarui jadi pengguna dan enggak ribet. qris juga sudah ke deteksi waktu bayar, enggak perlua waktu lama buat bayarnya cepat langsung bisa selesai"
214,"tampilannya bagus, tetapi saat mau masuk ke aplikasi lamanya membuat emosi banget"
466,terima kasih tampilan baru lebih intuitif
121,"sebelumnya saya sudah beli tiket pakai aplikasi lama, terus saya cek. di aplikasi tiket saya hilang tuh. pertanggungjawabannya bagaimana?"
20,"pembaruan otomatis, biasanya tiket kereta yang sudah habis enggak ditampilkan ini yang sudah habis ditampilkan kira masih tersedia"
71,"diperbarui jadi makin lancar, tak kasih bintang 5 deh buat aplikasi ini"
106,aplikasi terbaru otomatis. tampilannya sekarang tambah ribet dan bikin bingung. lebih simpel tampilan yang lama. seharusnya kalau memang ada perbarui lebih mempermudah. ini malah sebaliknya.
270,"setelah diperbarui malah makin mudah untuk metode pembayaran dapat lewat ovo, tautan saja, dana"
435,"saya beli tiket 1 tetapi kok bayarnya dobel? saya isi saldo kai pay 30 ribu, harga tiket kereta api lokal 12.000, saya beli tiket untuk 1 orang saja. kok tiba-tiba saldo saya tinggal 6.000? kok pembayaran bisa dobel begitu, tolong pihak kai kejelasaannya"
102,"ui ux elite, backend sulit"
