,ulasan,label
0,tolong baik aplikasi akses disappointed terima kasih,Negatif
1,baru melulu semenjak tampil susah akses ribet fiturnya,Negatif
2,baru susah cek tiket muat pakai waifi buka tolong baik,Negatif
3,baru promo alumni itb qris deteksi,Negatif
4,fitur tampil bagus sayang lambat ampun pilih duduk bayar tinggal tunggu kode bayar time out tiket jalan dadak beda aplikasi set cepat muat,Negatif
5,baru kayak fitur lambat ampun harap tolong lekas benah,Positif
6,habis baru ribet lambat tolong benah baru lalu coba cetah cari stasiun kereta lambat muat stasiun temu versi langsung temu cepat pilih duduk muat selesai beli traveloka kembali versi tes jalan fiturnya aplikasi luncur semarang baik,Negatif
7,alat lambat suka time out,Positif
8,lot banget beli cari tiket enak lunya aduh,Negatif
9,baru tiket kereta susah tunggu cair tiket kembali beda uang kembali tunggu transfer baru langsung cair jam hari sayang situ ui-nya bagus,Negatif
10,izin kendala daftar anggota tepat kode tekan tombol lanjut pikir sinyal alhasil susah beli tiket daftar anggota,Negatif
11,baru fitur koneksi lambat aplikasi baru versi baru ganggu fitur rusak fitur,Konflik
12,lot banget masuk tolong baik,Negatif
13,lambat fitur sistem dukung,Positif
14,eror daftar pesan kosong tingkat gagal tumbid harga promo pes tingkat,Negatif
15,tolong baik kualitas pakai aplikasi tingkat akun susah masuk lagi muat banget ampun,Negatif
16,fiturnya paket lambat ampun,Positif
17,fitur filter ganti nama kereta mohon baik terima kasih,Negatif
18,masuk koneksi timeout,Negatif
19,malas pakai baru masuk muat ribet mas tiket gue,Negatif
20,samsung pro slide lihat jadwal pesan duduk kereta pes tolong bantu akses telepon seluler layar,Negatif
21,mesan masuk lambat banget baru jam gagal mes muat sinyal bagus fitur mudah akses tampil segar,Negatif
22,proses ganti jadwal sulit pilih reduksi,Negatif
23,kali kecewa baru baru bagus lambat masuk tunggu pesan tiket susah mohon solusi,Negatif
24,baru aplikasi lambat banget admin pas masuk masuk terang failed pakai kai acces tolong pakai aplikasi aplikasi ya bikin simpel mudah akses susah,Negatif
25,berat banget aplikasi jadwal kerlu lengkap baru buka aplikasi menit ulas samsung galaxy main berat,Negatif
26,dih gemas banget aplikasi kai sih pakai ubah enak lambat pol fiturnya jelas tolong deh kembali aplikasi kai,Negatif
27,baru aplikasi lambat susah beli tiket sulit pemboardan,Negatif
28,sortir bagus aplikasi sort kelas kursi,Negatif
29,baru masuk butuh verifikasi sms telepon seluler banget kirim otp sms-nya kunci akun aduh sih,Negatif
30,masuk aplikasi kai acces,Negatif
31,aku suka,Negatif
32,baru masuk aplikasi,Negatif
33,masuk sulit lelet banget susah masuk masuk aduh,Negatif
34,tampil cari kereta tiket habis muncul beri harap palsu calon tumpang,Negatif
35,aplikasi lambat parah menu menu fokus jual tiket alih fungsi,Negatif
36,masuk pelat merah lo main,Negatif
37,berengsek man susah masuk pesan tiket ribet pulang woi admin,Negatif
38,masuk lambat putar,Negatif
39,pliss kai baik aplikasi cepat baru aplikasi bantu beli tiket lokal pakai aplikasi otas pas beli lot banget tampil bagus fungsional tolong banget baik pagi telat kereta gra-gara lambat aplikasi lot pas masuk pilih tiket bayar dll  kasih bayar habis muat ganti sedia,Negatif
40,hubung masuk cs lanjut,Negatif
41,tingkat lambat pilih kursi buka aplikasi suruh masuk,Negatif
42,tuju tampil promo sedia bagus mudah versi,Negatif
43,masuk lambat proses bayar lambat bayar habis baik aplikasi parah super lambat,Negatif
44,baru aplikasi lambat fiturnya fitur tiket tiket beli tunjuk sebab tunggu tukar tiket cetak pengat fitur kereta beli tiker kota lambat tang coba internal kai langsung main baru aplikasi maksimal,Negatif
45,buruk telat menit uang kembali hangus ribu beli angin,Negatif
46,jual kilat lancar pas jual kilat muat selesai selesai,Konflik
47,bikin akun baik sistem maaf,Negatif
48,fitur lengkap operasi lemoot fitur beli tiket kereta kece tiket kereta bagus baru,Positif
49,lengkap ribet ya,Konflik
50,baru buka aplikasi cari mohon tingkat biar kendala,Negatif
51,masuk susah banget sih versi canggih,Negatif
52,ribet ya admin cek jadwal commuter line enak aplikasi,Negatif
53,paham fitur jelek sih,Negatif
54,aplikasi baru susah masuk masuk bendal masuk mutarnya tolong baik laden,Negatif
55,keluh kai access ribet versi mohon maaf admin jujur kai access aplikasi jalan apresiasi tambah fitur lokal kerla kcic tambah fitur hotel bus kai akses hilang identitas kai access,Negatif
56,batal tiket kereta kai access potong proses kembali transfer gilir batal reservasi hotel kai access arah hubung traveloka traveloka hubung tuju konfirmasi reservasi batal penalti kembali dana arah hubung mesan kai access aplikasi kai access opsi cakap bantu,Negatif
57,sesal tingkat versi kali coba masuk masuk,Negatif
58,ya aplikasi lambat banget muat kayak aplikasi ubah tambah suka masuk bekali-kali,Negatif
59,maaf aplikasi pakai fitur connecting train banyuwangi cikarang lemah grade ya,Negatif
60,ecek tiket jadwal,Negatif
61,aplikasi susah erti cek jadwal kerlu detail lambat jelek,Negatif
62,muat aplikasi enak versi,Negatif
63,tingkat masuk melulu coba kali masuk kai acces tanggap,Negatif
64,idready daftar akun dasar ruwet kemarin ganti nomor pesan tiket deh,Negatif
65,daftar tiket akses,Negatif
66,sadar baru kai access access by kai kirain sengaja copot tahu ganti nama fiturnya ikon enak tampil sih layan pesan tiket doang sih jual pulsa data bayar listrik aplikasi berat pesan tiket susah daftar stasiun muncul,Positif
67,baru buruk masuk bufer puluh menit kondisi jaring bagus sumpah aplikasi enak baru,Negatif
68,ya suruh daftar anggota dasar surel nomor daftar daftar anggota dasar,Negatif
69,aplikasi baru bikin masuk gagal coba lupa sandi telepon kali kasih sandi standar hambat baik ganti uji coba pesan tiket nilai bintang aplikasi baharu,Negatif
70,jadwal salat versi,Negatif
71,versi baru buruk masuk via surel nomor telepon seluler putar kecambah,Negatif
72,harga tiket habis tampil koneksi lancar gagal,Positif
73,sulit masuk muncul tampil mesan tiket,Negatif
74,lot masuk masuk masuk pas masuk lambat parah masuk susah,Negatif
75,anjing masuk gagal baru ribet,Negatif
76,fitur pilih busa akses running versi rugi konsumen desak butuh reshcedulle tiket coba telepon layan center solusi coba manual copot unduh pasang perhati,Konflik
77,guna baru susah mengacess lihat jadwal masuk ulang buruk,Negatif
78,eror banget internet bagus aplikasi susah masuk semenjak baru,Negatif
79,baharu lambat susah buka aplikasi sinyal bagus ecek tiket susah moga baik mudah tumpang aplikasi kai,Negatif
80,baru lambat masuk susah,Negatif
81,lot banget macet jaring penuh jual kilat eror,Negatif
82,aplikasi bantu detail kendala muat cek jadwal putar line susah cari nama stasiun makan muat hasil cari,Negatif
83,sih susah masuk masuk pulang pergi kerja kereta tolong benah mudah,Negatif
84,baru susah masuk butuh hasil masuk lanjur kesal copot,Negatif
85,masuk susah banget beli tiket aplikasi baru jalan,Negatif
86,habis baru bagus aneh bobrok banget tambah acara promo agustus akun akses baru aplikasi bagus bobrok,Negatif
87,baru memblank,Negatif
88,ubah nomor telepon gagal tingkat anggota klasik anah aplikasi sulit jatuh,Negatif
89,daftar anjing guna kecewa parah banget baru tolol,Negatif
90,hormat kembang aplikasi access by kai keluh aksesibilitas dasar aplikasi kendala lambat proses masuk data ulang mohon evaluasi tim proyek mohon dengar keluh terima kasih,Negatif
91,buruk daftar anggota sulit ampun suruh ganti nomor telepon seluler surel ganti nomor,Negatif
92,baru aplikasi masalah masuk aplikasi isi kode otp muat tunggu blokir jam masuk kode otp bayar qris kode qris kunjung muncul bayar tiket jenis kelamin ubah di-refresh jenis kelamin salah tukar laki perempuan tumpang,Negatif
93,baik minggu kemarin suruh masuk masuk laden lambat tolong kembang sulit transportasi tinggal kereta,Negatif
94,woi registrasi banget anjing,Negatif
95,tingkat buka lancar masuk eh buka aplikasi suruh masuk aneh masuk suruh masuk buka aplikasi posisi data nyala tulis acces kai data mati masuk home-nya aneh mengebug lambat,Negatif
96,baik aplikasi masuk butuh terima kasih,Negatif
97,muat aplikasi eror gratis tolong baik versi baru saran mending kembali versi beda kembang mending evaluasi main fungsi banyak fitur main fungsi guna maksimal xxx xxx xxx get it maaf terima kasih,Negatif
98,lot masuk,Negatif
99,masuk,Negatif
100,baru buka muncul tampil masuk jaring bagus henti tulis kai access jam jam sesal baru lambat banget,Negatif
101,banget aplikasi masuk surel data deteksi daftat pakai baharu data deteksi sistem tampil masalah coba pasang ulang kayak bagus ribet mesan tiket,Negatif
102,baru masuk menit aduh,Negatif
103,parah baru susah masuk niat hati ikut jual kilat otomatis copot,Negatif
104,baru lambat masuk ada promo laden lemah bayar kecewa,Negatif
105,ramah guna beli tiket isi data pilih kursi langsung bayar beli makan tiket transportasi dll  menganggu proses transaksi pisah tools utama beli tiket selip pesan makan akomodasi transportasi terima kasih,Negatif
106,tolong nih beli tiket bayar aplikasi buka canda beli tiket murah lo ya milik aplikasi tolong benar stabil aplikasi cetak tiket astaghfirullah,Negatif
107,bagus sih menu cepat sulit masuk aplikasi ter masuk depan opsi bayar komuter pakai kaipay mohon aplikasi baik,Negatif
108,buna kacau susah bayar muat mesan tiket habis qrisnya moga admin tingkat susah masuk sulit,Negatif
109,metode bayar batas fitur ganti nomor nomor aktif tombol bayar sengaja aplikasi,Negatif
110,banget aplikasi masuk surel data deteksi daftat pakai baharu data deteksi sistem tampil masalah coba pasang ulang kayak bagus ribet mesan tiket,Negatif
111,anggota tampil access by kali ubah arah tingkat isi kolom isi buka mesti verifikasi nomor telepon seluler masuk payah,Negatif
112,fitur tampil segi guna banget buka muat lot mati tingkat,Konflik
113,tampil senang youth fasilitas fungsi nama spesial orang mudah cari kai access nama kai access keren spesial identitas aplikasi pesan tiket kereta api access makna revamp ya revamp aneh bikin stasiun lupa jalan akses aneh hem kayak livin by mandiri,Positif
114,sepenuh mudah proses pesan ktp kece guna isi data pribadi akun bikin ribet cek ktp aplikasi guna tambah tampil bikin ribet pilih kereta beda aplikasi sesal tingkat access kai,Negatif
115,aplikasi kemarin baru masuk kagak otp keluar bagus sih bagus tampil akun masuk,Negatif
116,sebal tampil baru aplikasi jelek out masuk susah kali pasang ulang,Negatif
117,baru tampil colour full lengkap jadwal commuterline,Positif
118,fitur lengkap sulit mengoprasikan fitur ribet efisien enak aplikasi baru fitur filter nama kereta tampil buruk banget lambat banget fokus aplikasi khusus kai,Konflik
119,najis aplikasi lot parah otp kirim lambat banget aplikasi bagus fiturnya simpel lambat apa tampil simpel lancar tapilan bagus lambat susah guna,Negatif
120,tampil eror log in ulang coba pesan tiket tingkat basic anggota ikut langkah muncul tulis hidnum has already exist isi,Negatif
121,kasih cepat lola pesan promo ya pas promo tulis jadwal pas war tiket mudik lebaran tolong baik aplikasi,Negatif
122,aplikasi susah buka pesan tiket susah banget buka orang butuh cepat pakai banget deh pesan gagal masuk,Negatif
123,masuk susah banget picture oke jaring kayak masuk aplikasi susah banget tolong baik pesan tiket susah ampun paksa beli pakai shopee cari duduk batas,Negatif
124,baru masuk pesan tiket,Negatif
125,kereta lokal muncul jadwal pesan,Negatif
126,masuk alas daftar tingkat layan dasar premium bikin akun sulit aplikasi ganggu jalan pesan tiket susah gara-gara masuk,Negatif
127,baru awur masuk ulang menit masuk menu aplikasi lambat buka eh akun log out masuk kode otp-nya deh,Negatif
128,baru hancur bos masuk aplikasi hapus unduh masuk,Negatif
129,seh dikit ganti dikit ganti capek lo atur sandi haduh bikin orang susah bikin repot,Negatif
130,aplikasi buruk jaja baru masuk kembali aplikasi,Negatif
131,umur masuk kursi dewasa nomor nik anak masuk kartu kredit ktp pilih ktp pasor nik kartu kredit masuk aplikasi yah,Negatif
